dates,posts,sentence_tokenize
"19,July,2004","

	 
      this is an awesome video of an experiment showing  urllink sand acting as a liquid 
     
    
",['\n\n\t \n      this is an awesome video of an experiment showing  urllink sand acting as a liquid']
"13,July,2004","

	 
      some really powerful photos of gang lives take by  urllink robert yager. 
     
    
",['\n\n\t \n      some really powerful photos of gang lives take by  urllink robert yager.']
"13,July,2004","

	 
       urllink canon announces the xl2  need we say more.  i've been craving an xl since the first xl1.  now the xl2, though i still want a  urllink panasonic ag-dvx100a .  guess i just want it all
     
    
","['\n\n\t \n       urllink canon announces the xl2  need we say more.', ""i've been craving an xl since the first xl1."", 'now the xl2, though i still want a  urllink panasonic ag-dvx100a .', 'guess i just want it all']"
"04,April,2004","

     
      test post.
     
    
",['\n\n     \n      test post.']
"28,May,2004","

     
      i've seen this before, i mean it's a must it's a freaking dreamcast, they stopped making those in like 1998 before they even knew they were making them, in any case my fetish  urllink grows. 
     
    
","[""\n\n     \n      i've seen this before, i mean it's a must it's a freaking dreamcast, they stopped making those in like 1998 before they even knew they were making them, in any case my fetish  urllink grows.""]"
"27,May,2004","

     
      isamu sawada is an amazing designer.  i wonder if he does design as a profession or simply in his spare time.  i must say i only have mixed feelings about his  urllink powerfulbook r6 concept.  still more amazing then anything i could do.
     
    
","['\n\n     \n      isamu sawada is an amazing designer.', 'i wonder if he does design as a profession or simply in his spare time.', 'i must say i only have mixed feelings about his  urllink powerfulbook r6 concept.', 'still more amazing then anything i could do.']"
"27,May,2004","

     
      i always wondered why i didn't make more friends over the telephone now i  urllink know. 
     
    
","[""\n\n     \n      i always wondered why i didn't make more friends over the telephone now i  urllink know.""]"
"26,May,2004","

     
      i love aerial photography.  i think it just reveals so much about our cultures and what we find central and how we organize our living environments as a whole around each other.  i guess that's why it's a definite that i'm picking up  urllink this book. 
     
    
","['\n\n     \n      i love aerial photography.', 'i think it just reveals so much about our cultures and what we find central and how we organize our living environments as a whole around each other.', ""i guess that's why it's a definite that i'm picking up  urllink this book.""]"
"26,May,2004","

     
      my addictiong to  urllink hello, kitty  branded computing merchandise continues to grow.
     
    
","['\n\n     \n      my addictiong to  urllink hello, kitty  branded computing merchandise continues to grow.']"
"26,May,2004","

     
      wow if  urllink this is true.   i maybe almost required to get one.  i truly think it's a dumb idea, i mean come on a game phone.  but i do give them props for certain things like bluetooth wireless gaming.  i mean that seems like such a simple no brainer to me.  oh well, granted even if i got one it's not like i'd have anyone to play wireless with.
     
    
","['\n\n     \n      wow if  urllink this is true.', 'i maybe almost required to get one.', ""i truly think it's a dumb idea, i mean come on a game phone."", 'but i do give them props for certain things like bluetooth wireless gaming.', 'i mean that seems like such a simple no brainer to me.', ""oh well, granted even if i got one it's not like i'd have anyone to play wireless with.""]"
"25,May,2004","

     
      this is a decent  urllink headset roundup review (mobileburn) , though for some reason i was under the impression that it was every current bluetooth headset out there.  still quite nice, as i keep searching for the bluetooth headset that i'm gonna get next...after i get a bluetooth phone that is.
     
    
","['\n\n     \n      this is a decent  urllink headset roundup review (mobileburn) , though for some reason i was under the impression that it was every current bluetooth headset out there.', ""still quite nice, as i keep searching for the bluetooth headset that i'm gonna get next...after i get a bluetooth phone that is.""]"
"21,May,2004","

     
      a great article on the evolution of the mac os  urllink help system.  
     
    
",['\n\n     \n      a great article on the evolution of the mac os  urllink help system.']
"21,May,2004","

     
      perfect description  urllink william gibson 
     
    
",['\n\n     \n      perfect description  urllink william gibson']
"20,May,2004","

     
      ok.  so maybe i'm not enough a programmer/developer to understand this, but i have to rant.  why oh why, do vendors make ""simulators"" for their hardware products in java, only to have them only run in windows?!?  they go on and on and on how it's java based and the silulator is written in java as well, shouldn't that mean it can be recompiled for linux, mac, etc?!  argh  
     
    
","[""\n\n     \n      ok.  so maybe i'm not enough a programmer/developer to understand this, but i have to rant."", 'why oh why, do vendors make ""simulators"" for their hardware products in java, only to have them only run in windows?!?', ""they go on and on and on how it's java based and the silulator is written in java as well, shouldn't that mean it can be recompiled for linux, mac, etc?!"", 'argh']"
"20,May,2004","

     
      i must say i truly love my sidekick.  the software is well integrated and the device is a decent size.  the problem is i've been unhappy with the way  urllink t-mobile  has been handling the device and it's service specific to it.  there has been a decent amount of hub-bub around  urllink danger's  newest incarnation of the device, but no really good pics of it, until  urllink now  at least.  though i must say i'm noot sure what i'll do when it's time to replace my sidekick, if i'll upgrade to the newest hiptop, or something else.  i do know one thing, i am not a fan of the  urllink treo 600 , like everyone else seems to be.  perhaps i'll look into a  urllink blackberry  and get a separate cell phone for voice.  i'd been considering that with my hiptop for quite sometime now, just can't justify it since i rarely use the phone aspect of it.  anyone have any suggestions i'd love to hear them.
     
    
","['\n\n     \n      i must say i truly love my sidekick.', 'the software is well integrated and the device is a decent size.', ""the problem is i've been unhappy with the way  urllink t-mobile  has been handling the device and it's service specific to it."", ""there has been a decent amount of hub-bub around  urllink danger's  newest incarnation of the device, but no really good pics of it, until  urllink now  at least."", ""though i must say i'm noot sure what i'll do when it's time to replace my sidekick, if i'll upgrade to the newest hiptop, or something else."", 'i do know one thing, i am not a fan of the  urllink treo 600 , like everyone else seems to be.', ""perhaps i'll look into a  urllink blackberry  and get a separate cell phone for voice."", ""i'd been considering that with my hiptop for quite sometime now, just can't justify it since i rarely use the phone aspect of it."", ""anyone have any suggestions i'd love to hear them.""]"
"20,May,2004","

     
      i thought i was a fanatic for notebooks and pens.  i carry 2-3 pens with me and a pencil and erase with me at all times.  not to mention 2-3 notebooks for various ideas and categories of notes.  i must say though my pens have slowly been dying out since graduation i've been putting off getting knew pens till  urllink now .  with that article i know what pens i should get and fill my bag and draw up again.
     
    
","['\n\n     \n      i thought i was a fanatic for notebooks and pens.', 'i carry 2-3 pens with me and a pencil and erase with me at all times.', 'not to mention 2-3 notebooks for various ideas and categories of notes.', ""i must say though my pens have slowly been dying out since graduation i've been putting off getting knew pens till  urllink now ."", 'with that article i know what pens i should get and fill my bag and draw up again.']"
"19,May,2004","

     
      following closely on the heals of wififofum, which allowed a user to see relative position of base stations on a ""radar screen"" of a wifi equipped pocketpc.  now comes  urllink open source virtual gps for wi-fi. 
     
    
","['\n\n     \n      following closely on the heals of wififofum, which allowed a user to see relative position of base stations on a ""radar screen"" of a wifi equipped pocketpc.', 'now comes  urllink open source virtual gps for wi-fi.']"
"17,May,2004","

     
      continuing in the veign of cool gadgets, gizmos and hello kitty merchandise.  i present to you:  urllink fj!!'s pink hello kitty laptop 
     
    
","['\n\n     \n      continuing in the veign of cool gadgets, gizmos and hello kitty merchandise.', 'i present to you:  urllink fj!!', ""'s pink hello kitty laptop""]"
"17,May,2004","

     
      well i'm certainly behind on the news.  apparently  urllink subethaedit  v2.0 was release a couple days ago, i didn't even realize it.  also looks like they added all the improvements i wanted into it: code completion, line numbering always on, and new window size setting.  in case you don't know the coolest feature of subethaedit is the fact that it allows writers(code, document, etc) to collaborate together using rendezvous.  i'm very much stoked.  so rush out and get it.  oh best part is it's free.
     
    
","[""\n\n     \n      well i'm certainly behind on the news."", ""apparently  urllink subethaedit  v2.0 was release a couple days ago, i didn't even realize it."", 'also looks like they added all the improvements i wanted into it: code completion, line numbering always on, and new window size setting.', ""in case you don't know the coolest feature of subethaedit is the fact that it allows writers(code, document, etc) to collaborate together using rendezvous."", ""i'm very much stoked."", 'so rush out and get it.', ""oh best part is it's free.""]"
"17,May,2004","

     
      i don't have a pocketpc but i keep getting twinges to buy one simply from my gadget addiction kicking in.  that and the fact i don't have one and never used one for extended ammount of time so i can't realize i'd use it as much as my half a dozen palm pilots i have laying about.  then i discover apps like,  urllink wififofum , which kicks my gadget addiction, specifically the pocketpc vein into high gear.
     
    
","[""\n\n     \n      i don't have a pocketpc but i keep getting twinges to buy one simply from my gadget addiction kicking in."", ""that and the fact i don't have one and never used one for extended ammount of time so i can't realize i'd use it as much as my half a dozen palm pilots i have laying about."", 'then i discover apps like,  urllink wififofum , which kicks my gadget addiction, specifically the pocketpc vein into high gear.']"
"15,May,2004","

     
      hopefully the craziness over the ipod mini will finally subside with news of  urllink this  coming out.
     
    
",['\n\n     \n      hopefully the craziness over the ipod mini will finally subside with news of  urllink this  coming out.']
"15,May,2004","

     
      i meant to post this a day or two ago but totally forgot oops.  this is the kind of stuff that really pisses me off about big business, specifically the riaa and mpaa:  urllink slashdot | riaa loss report contradicts nielsen sales record 
     
    
","['\n\n     \n      i meant to post this a day or two ago but totally forgot oops.', 'this is the kind of stuff that really pisses me off about big business, specifically the riaa and mpaa:  urllink slashdot | riaa loss report contradicts nielsen sales record']"
"11,May,2004","

     
       urllink women in gaming  is a great insight into why ""gaming for women"" fails.  as i've been saying for years, if you want to understand why it's failing -- asking women will usually generate the proper response.  unfortunately business and gaming companies usually end up with  urllink this.   oh and a side note(being a complete chauvinistic pig to boot) the author is amazingly hot, stevie case at least, i can't state how alice looks as there is only a sketch 
     
    
","['\n\n     \n       urllink women in gaming  is a great insight into why ""gaming for women"" fails.', ""as i've been saying for years, if you want to understand why it's failing -- asking women will usually generate the proper response."", 'unfortunately business and gaming companies usually end up with  urllink this.', ""oh and a side note(being a complete chauvinistic pig to boot) the author is amazingly hot, stevie case at least, i can't state how alice looks as there is only a sketch""]"
"11,May,2004","

     
      it's projects like  urllink this origami folding robot , that make me realize, i don't have as much of a head for 3d and robotics as i think i do.  it's just amazing stuff, all the different concepts that need to be mastered in order to make such a device.
     
    
","[""\n\n     \n      it's projects like  urllink this origami folding robot , that make me realize, i don't have as much of a head for 3d and robotics as i think i do."", ""it's just amazing stuff, all the different concepts that need to be mastered in order to make such a device.""]"
"11,May,2004","

     
      this  urllink blog entry  is a perfect example of why i blog and why i feel blogging is important.  it's not about ""stating"" something as fact.  it's about posting commentary on the world around us and quite often asking for feedback from the community.  i know in past blogs i've ran i've asked questions as many times as i've posted pure commentary.  i think it's just a new idea in media, and it will take time for people to understand exactly why it's different the past forms.
     
    
","['\n\n     \n      this  urllink blog entry  is a perfect example of why i blog and why i feel blogging is important.', 'it\'s not about ""stating"" something as fact.', ""it's about posting commentary on the world around us and quite often asking for feedback from the community."", ""i know in past blogs i've ran i've asked questions as many times as i've posted pure commentary."", ""i think it's just a new idea in media, and it will take time for people to understand exactly why it's different the past forms.""]"
"11,May,2004","

     
      i must say, as a gamer and gadget freak, i'm very saddened by the lack of ""cool stuff"" that america has compared to all the amazingly cool (and mostly useless) stuff japan has.  i mean i can finally get  urllink a hello kitty memory card for the ps2 ,  urllink metal gear gamecube bundle pack .  it's all only via import.  come on guys get with it and bring us cool limited editions.  americans are ripe for the what seems like the japanese tradition of owning multiple copies of consoles.  i mean if they brought that gamecube to the us i'd definitely buy a second one.  i'd soo buy a  urllink ffxi  special edition ps2.  oh well i just have to be patient and vote w/ my money when i can.
     
    
","['\n\n     \n      i must say, as a gamer and gadget freak, i\'m very saddened by the lack of ""cool stuff"" that america has compared to all the amazingly cool (and mostly useless) stuff japan has.', 'i mean i can finally get  urllink a hello kitty memory card for the ps2 ,  urllink metal gear gamecube bundle pack .', ""it's all only via import."", 'come on guys get with it and bring us cool limited editions.', 'americans are ripe for the what seems like the japanese tradition of owning multiple copies of consoles.', ""i mean if they brought that gamecube to the us i'd definitely buy a second one."", ""i'd soo buy a  urllink ffxi  special edition ps2."", 'oh well i just have to be patient and vote w/ my money when i can.']"
"11,May,2004","

     
       urllink stilettos and starbucks  man why didn't i call my blog that.
     
    
","[""\n\n     \n       urllink stilettos and starbucks  man why didn't i call my blog that.""]"
"11,May,2004","

     
      i wonder if i could fit this in my new apartment,  urllink petabox: a 1,000 terabyte array  &  i thought i was being hardcore with my dream rack of xserve raids.
     
    
","['\n\n     \n      i wonder if i could fit this in my new apartment,  urllink petabox: a 1,000 terabyte array  &  i thought i was being hardcore with my dream rack of xserve raids.']"
"11,May,2004","

     
      i just found 2 words that probably could be used to describe me.  the first i guess is a good connotation to it.  the second seems like it could be used in both good and bad connotations:  urllink the word spy - technosexual   urllink the word spy - geekerati 
     
    
","['\n\n     \n      i just found 2 words that probably could be used to describe me.', 'the first i guess is a good connotation to it.', 'the second seems like it could be used in both good and bad connotations:  urllink the word spy - technosexual   urllink the word spy - geekerati']"
"11,May,2004","

     
      oh gawd, now we're going to have pc users saying no wonder macs suck look how slow they run on my emulator. urllink mac rumors: pearpc - powerpc/mac os x emulation on a pc 
     
    
","[""\n\n     \n      oh gawd, now we're going to have pc users saying no wonder macs suck look how slow they run on my emulator."", 'urllink mac rumors: pearpc - powerpc/mac os x emulation on a pc']"
"11,May,2004","

     
       urllink neural.it: english content.   ahh the days of an emac student rush through my memory while at this site.  makes me remember why i hated the program and refuse to become an ""artist"".
     
    
","['\n\n     \n       urllink neural.it: english content.', 'ahh the days of an emac student rush through my memory while at this site.', 'makes me remember why i hated the program and refuse to become an ""artist"".']"
"11,May,2004","

     
      the new version of playfair,  urllink hymn -- hear your music anywhere  which cracks the drm on tunes purchased from itunes, but doesn't strip your unique id from the file.  i feel this is the best anti drm software yet.  drm is a touchy subject and it's still in the process of finding the ""right path"".  so having tools like this is handy in case said drm style becomes antiquated.  though in the end you are still breaking the licensing agreement/law.
     
    
","[""\n\n     \n      the new version of playfair,  urllink hymn -- hear your music anywhere  which cracks the drm on tunes purchased from itunes, but doesn't strip your unique id from the file."", 'i feel this is the best anti drm software yet.', 'drm is a touchy subject and it\'s still in the process of finding the ""right path"".', 'so having tools like this is handy in case said drm style becomes antiquated.', 'though in the end you are still breaking the licensing agreement/law.']"
"11,May,2004","

     
       urllink  fresh air: bill o'reilly interview .  he doesn't want us to here parts of this interview so of course i need to blog about it and let everyone know to listen to the interview and pass on the fact that he doesn't want people to hear it.
     
    
","[""\n\n     \n       urllink  fresh air: bill o'reilly interview ."", ""he doesn't want us to here parts of this interview so of course i need to blog about it and let everyone know to listen to the interview and pass on the fact that he doesn't want people to hear it.""]"
"11,May,2004","

     
      wow the new blogger is really quite sexy.  i must say i didn't think that blogger could get much better, but this is definitely much better.
     
    
","['\n\n     \n      wow the new blogger is really quite sexy.', ""i must say i didn't think that blogger could get much better, but this is definitely much better.""]"
"23,June,2004","

     
      i need to get  urllink anthony hamilton's  music.  his music has a real nice sound.  to bad i can't find the link i've used to make itms links.  oh well, you will know how to find the album i'm sure.  edit: oops forgot  urllink los lonely boys   edit: oops forgot to publish haha but as you can see i re-found the link to format itms links again.
     
    
","[""\n\n     \n      i need to get  urllink anthony hamilton's  music."", 'his music has a real nice sound.', ""to bad i can't find the link i've used to make itms links."", ""oh well, you will know how to find the album i'm sure."", 'edit: oops forgot  urllink los lonely boys   edit: oops forgot to publish haha but as you can see i re-found the link to format itms links again.']"
"21,June,2004","

     
      much like cars, some people just shouldn't be allowed to use computers.
     
    
","[""\n\n     \n      much like cars, some people just shouldn't be allowed to use computers.""]"
"16,June,2004","

     
      continuing in my pirate radio vein:  urllink ipod pirate radio bumper stickers .  not sure how much the fcc would like these but eh, stick it to the man.  sorry that was horrible but i couldn't help it.
     
    
","['\n\n     \n      continuing in my pirate radio vein:  urllink ipod pirate radio bumper stickers .', 'not sure how much the fcc would like these but eh, stick it to the man.', ""sorry that was horrible but i couldn't help it.""]"
"15,June,2004","

     
      so it looks like my post yesterday about needing being able to make a pocket size radio station has been answered with a  urllink diy itrip amplifier .  i mean yea we could just broadcast with an itrip but that's only like 20-30 feet if lucky.  so this is a welcome addition to the collection.
     
    
","['\n\n     \n      so it looks like my post yesterday about needing being able to make a pocket size radio station has been answered with a  urllink diy itrip amplifier .', ""i mean yea we could just broadcast with an itrip but that's only like 20-30 feet if lucky."", 'so this is a welcome addition to the collection.']"
"15,June,2004","

     
       urllink how-to tuesday: make your own pirate radio station with an ipod  reminds me of my frosh year at rpi when we made a pirate radio stationg that blanketed freshman hill.  the fact there is a possibility to make a pocket size pirate radio station is awesome.  i'm very much for low power pirate radio stations, ahh the good ol' days.
     
    
","['\n\n     \n       urllink how-to tuesday: make your own pirate radio station with an ipod  reminds me of my frosh year at rpi when we made a pirate radio stationg that blanketed freshman hill.', 'the fact there is a possibility to make a pocket size pirate radio station is awesome.', ""i'm very much for low power pirate radio stations, ahh the good ol' days.""]"
"12,June,2004","

     
      i don't want one, i need  urllink one .  no seriously, please i'm a sucker for old school film tech.  i have an old school 8mm and i'd have probably half a dozen or more if i still went to yard sales and flea markets like i used to when i was a kid.  the fact i can actually have the look and feel of old film tech and digital internals just makes me more excited then is reasonably expected.
     
    
","[""\n\n     \n      i don't want one, i need  urllink one ."", ""no seriously, please i'm a sucker for old school film tech."", ""i have an old school 8mm and i'd have probably half a dozen or more if i still went to yard sales and flea markets like i used to when i was a kid."", 'the fact i can actually have the look and feel of old film tech and digital internals just makes me more excited then is reasonably expected.']"
"12,June,2004","

     
      ok this is quite old but supposedly people have  urllink the real dirt on appleâ€™s cinema displays?   while the sizes seem about right as well as the resolutions there are a couple of things that common sense just state don't work.  first of all, switching from the adc(apple display connector) to dvi.  i think apple really likes be slick and having as few wires as possible.  with dropping adc you lose video, power and usb all in one cable.  so you would go from 1 cable to 3 cables.  which brings me to my next point, they state there will be 2 firewire ports on it.  how is this possible since adc doesn't carry firewire signal and if they do go with dvi there would be neither usb or firewire.  so now that's 4 wires coming out of this display.  bleh i wouldn't mind many of these features but just don't see it happening.
     
    
","['\n\n     \n      ok this is quite old but supposedly people have  urllink the real dirt on appleâ€™s cinema displays?', ""while the sizes seem about right as well as the resolutions there are a couple of things that common sense just state don't work."", 'first of all, switching from the adc(apple display connector) to dvi.', 'i think apple really likes be slick and having as few wires as possible.', 'with dropping adc you lose video, power and usb all in one cable.', 'so you would go from 1 cable to 3 cables.', 'which brings me to my next point, they state there will be 2 firewire ports on it.', ""how is this possible since adc doesn't carry firewire signal and if they do go with dvi there would be neither usb or firewire."", ""so now that's 4 wires coming out of this display."", ""bleh i wouldn't mind many of these features but just don't see it happening.""]"
"09,June,2004","

     
      sadly right before my switch over, i as well suffered from the delussion that i could  urllink turn my pc into a mac .  as the expression goes the interface is just skin deep.  you don't get the true os x experience.  well perhaps you can now, as when i did this it was 3 years ago, and the software on the market to do these things was new and buggy.  still interesting to see, i wonder what the psychological aspects of all this are.  perhaps there aren't any haha.
     
    
","['\n\n     \n      sadly right before my switch over, i as well suffered from the delussion that i could  urllink turn my pc into a mac .', 'as the expression goes the interface is just skin deep.', ""you don't get the true os x experience."", 'well perhaps you can now, as when i did this it was 3 years ago, and the software on the market to do these things was new and buggy.', 'still interesting to see, i wonder what the psychological aspects of all this are.', ""perhaps there aren't any haha.""]"
"09,June,2004","

     
      i have dreams about having an army of robotic artist minions to do my bidding as an artist.  for i seem to think on a more conceptual level and not really good at that whole ""creating"" bit.  i can think of cool idea but horrible at making content.  just all about remixing and re-manifesting previous art into my new pieces and now i almost can have my dream with,  urllink project k .  so just need more machines making abstract automatic art, preferably which changes over time so that i can incorporate them into my video. mmmmm robotic artists...
     
    
","['\n\n     \n      i have dreams about having an army of robotic artist minions to do my bidding as an artist.', 'for i seem to think on a more conceptual level and not really good at that whole ""creating"" bit.', 'i can think of cool idea but horrible at making content.', 'just all about remixing and re-manifesting previous art into my new pieces and now i almost can have my dream with,  urllink project k .', 'so just need more machines making abstract automatic art, preferably which changes over time so that i can incorporate them into my video.', 'mmmmm robotic artists...']"
"07,June,2004","

     
      it's days like today that i'm still amazed by apple computers.  there is all this press about a few pictures of a ""new""/""upgraded"" g5 that have been leaked, or photoshoped.  whatever the case may be.  then they release the  urllink airport express .  i think several times more amazing then an upgraded g5 will ever be.  i mean i'm looking forward to a bump since i'm in the market for a  urllink mid range g5  and  urllink mid range screen .  the fact that they made a complete base station alittle larger then there current powerbricks and added  urllink features  to it, just blows me away.  keep it up apple and keep me amazed.
     
    
","[""\n\n     \n      it's days like today that i'm still amazed by apple computers."", 'there is all this press about a few pictures of a ""new""/""upgraded"" g5 that have been leaked, or photoshoped.', 'whatever the case may be.', 'then they release the  urllink airport express .', 'i think several times more amazing then an upgraded g5 will ever be.', ""i mean i'm looking forward to a bump since i'm in the market for a  urllink mid range g5  and  urllink mid range screen ."", 'the fact that they made a complete base station alittle larger then there current powerbricks and added  urllink features  to it, just blows me away.', 'keep it up apple and keep me amazed.']"
"05,June,2004","

     
      so it looks like the web-utility i use to make the beautiful  urllink amazon links  is offline, hopefully it will be back up soon, but just for record i'm now read  urllink angels & demons  and still playing rainbow six, though i did pick up  urllink full spectrum warrior  i haven't had much free time to play it.
     
    
","[""\n\n     \n      so it looks like the web-utility i use to make the beautiful  urllink amazon links  is offline, hopefully it will be back up soon, but just for record i'm now read  urllink angels & demons  and still playing rainbow six, though i did pick up  urllink full spectrum warrior  i haven't had much free time to play it.""]"
"05,June,2004","

     
      oh by the way, show you how busy i was yestarday.  i totally missed my favorite  urllink oses  b-day.  yestarday marked  urllink ten years of beos (coverage via slashdot).
     
    
","['\n\n     \n      oh by the way, show you how busy i was yestarday.', 'i totally missed my favorite  urllink oses  b-day.', 'yestarday marked  urllink ten years of beos (coverage via slashdot).']"
"05,June,2004","

     
      so i was just thinking about sharing tunes via  urllink rendezvous and wireless networks .  when i realized well i only carry my tunes via my ipod making it useless in this system, then i was like why can't i hook it up to the usb port on the pocket pc.  nope, usb is a master/slave relationship not peer-to-peer like firewire.  luckily  urllink a usb host compact flash card  is soon to be released.  then i realized between usb 1.1 speed, the speed of wireless, and pocketpc speed, this would be gawd awful slow, i still think it would be worthwhile to tinker around with.  i guess i'll still look forward to a company to actually incorporate this sort of sharing into the mp3 player of choice for me.
     
    
","['\n\n     \n      so i was just thinking about sharing tunes via  urllink rendezvous and wireless networks .', ""when i realized well i only carry my tunes via my ipod making it useless in this system, then i was like why can't i hook it up to the usb port on the pocket pc."", 'nope, usb is a master/slave relationship not peer-to-peer like firewire.', 'luckily  urllink a usb host compact flash card  is soon to be released.', 'then i realized between usb 1.1 speed, the speed of wireless, and pocketpc speed, this would be gawd awful slow, i still think it would be worthwhile to tinker around with.', ""i guess i'll still look forward to a company to actually incorporate this sort of sharing into the mp3 player of choice for me.""]"
"23,July,2004","

     
      thank you,  urllink engadget  for making my day with this choice quote: ""most people still have absolutely no idea what in the hell weâ€™re talking about when we bring up voice over ip (which is why weâ€™ve long since abandoned it as a pickup line).""  it's the simple things in life right?
     
    
","['\n\n     \n      thank you,  urllink engadget  for making my day with this choice quote: ""most people still have absolutely no idea what in the hell weâ€™re talking about when we bring up voice over ip (which is why weâ€™ve long since abandoned it as a pickup line).""', ""it's the simple things in life right?""]"
"20,July,2004","

     
      ahhh one of my ultimate favorite trends of the 80's(and continuing on i may add) was the breakdance trend.  i could watch hours and hours of this stuff.  luckily there appears to be  urllink renaissance of breakin' .
     
    
","[""\n\n     \n      ahhh one of my ultimate favorite trends of the 80's(and continuing on i may add) was the breakdance trend."", 'i could watch hours and hours of this stuff.', ""luckily there appears to be  urllink renaissance of breakin' .""]"
