dates,posts,sentence_tokenize
"28,March,2000","


       
      i'm sick of looking for travel quotes for a round trip to the us. i was looking for the cheapest one available, but no luck so far. i'm playing rinra-ringa-roses and they send me from one place to another. why am i looking for a round trip ticket to the us? cause my mum has to go towards june this year. and what about me? not for another 10 years at least.  ps if anybody can help me, please email  urllink me . with quotes of flights, to new york from bombay (or mumbai) on the first sunday of june and returning around the the second week of august (yah, a very long time).
     

 
    
","[""\n\n\n       \n      i'm sick of looking for travel quotes for a round trip to the us."", 'i was looking for the cheapest one available, but no luck so far.', ""i'm playing rinra-ringa-roses and they send me from one place to another."", 'why am i looking for a round trip ticket to the us?', 'cause my mum has to go towards june this year.', 'and what about me?', 'not for another 10 years at least.', 'ps if anybody can help me, please email  urllink me .', 'with quotes of flights, to new york from bombay (or mumbai) on the first sunday of june and returning around the the second week of august (yah, a very long time).']"
"28,March,2000","


       
      today's city is srinagar, to those who haven't heard of srinagar, it is the summer capital of jammu and kashmir, with jammu being the winter capital. it is not a very hospitable place now, due to the activity of pakistani terrorists in the valley. it is now a non family station for people like my father meaning families of defence personnel and the like are not allowed there. srinagar is famous for its gardens by the mughal emperors of india in the medeival ages, and also the houseboats on the dal lake. house boats are just that houses on boats, and are now used as tourist hotels. correction,  were  used as tourist hotels, due to the activity of pakistani terrorists, no tourists. not only bad for tourism but also for the local people, as tourism is the mainstay of the local economy.   there will be sometime before normalcy returns, but it is unlikely as the pakistani government survives on pure hate. if india vanishes tommorow the whole country of pakistan will collapse. or maybe not they already have america to hate and russia and...
     

 
    
","[""\n\n\n       \n      today's city is srinagar, to those who haven't heard of srinagar, it is the summer capital of jammu and kashmir, with jammu being the winter capital."", 'it is not a very hospitable place now, due to the activity of pakistani terrorists in the valley.', 'it is now a non family station for people like my father meaning families of defence personnel and the like are not allowed there.', 'srinagar is famous for its gardens by the mughal emperors of india in the medeival ages, and also the houseboats on the dal lake.', 'house boats are just that houses on boats, and are now used as tourist hotels.', 'correction,  were  used as tourist hotels, due to the activity of pakistani terrorists, no tourists.', 'not only bad for tourism but also for the local people, as tourism is the mainstay of the local economy.', 'there will be sometime before normalcy returns, but it is unlikely as the pakistani government survives on pure hate.', 'if india vanishes tommorow the whole country of pakistan will collapse.', 'or maybe not they already have america to hate and russia and...']"
"28,March,2000","


       
      the city of the day coming up in a couple of hours
     

 
    
",['\n\n\n       \n      the city of the day coming up in a couple of hours']
"28,March,2000","


       
      i rated 75 out of 100 on the  urllink suave-o-meter .  it says:  you are quite the casanova! you know how to play the dating game, and you're damn good at it! most likely, you are a woman magnet and you are never without an admirer. it appears that you have an incredible amount of charm, and your attentive and sensitive demeanor makes you irresistible. you have definitely been taught well. you know how to treat a woman, and you make sure that she feels special and appreciated by yours truly. you have a knack for expressing yourself and showing your interest, without looking too eager. that is a difficult balancing act, and you deserve a pat on the back for perfecting it. at the rate you're going, you won't be dating much longer before you score your dream girl!   i don't have a girlfriend, and with my looks never will too.  
     

 
    
","['\n\n\n       \n      i rated 75 out of 100 on the  urllink suave-o-meter .', 'it says:  you are quite the casanova!', ""you know how to play the dating game, and you're damn good at it!"", 'most likely, you are a woman magnet and you are never without an admirer.', 'it appears that you have an incredible amount of charm, and your attentive and sensitive demeanor makes you irresistible.', 'you have definitely been taught well.', 'you know how to treat a woman, and you make sure that she feels special and appreciated by yours truly.', 'you have a knack for expressing yourself and showing your interest, without looking too eager.', 'that is a difficult balancing act, and you deserve a pat on the back for perfecting it.', ""at the rate you're going, you won't be dating much longer before you score your dream girl!"", ""i don't have a girlfriend, and with my looks never will too.""]"
"28,March,2000","


       
      i decided to add a few blogs on my page, then i realised that my blog would come (if at all) on other peoples blogs way down in the bottom, so i've decided to change the name of my blog to  a blog formerly known as my ramblings and rants . hahahah i'm  invincible . i may not be original, but i'm invincible.   urllink tracy  dropped a line saying i'm a lazy bum (not quite) haha. she actually asked which blogs were abusive. i say all of them heeheehee.
     

 
    
","[""\n\n\n       \n      i decided to add a few blogs on my page, then i realised that my blog would come (if at all) on other peoples blogs way down in the bottom, so i've decided to change the name of my blog to  a blog formerly known as my ramblings and rants ."", ""hahahah i'm  invincible ."", ""i may not be original, but i'm invincible."", ""urllink tracy  dropped a line saying i'm a lazy bum (not quite) haha."", 'she actually asked which blogs were abusive.', 'i say all of them heeheehee.']"
"28,March,2000","


       
      logging fr the day. 2morrow is a brand new day
     

 
    
","['\n\n\n       \n      logging fr the day.', '2morrow is a brand new day']"
"27,March,2000","


       
      the more i use it the more it convinces me netscape  sux  period
     

 
    
",['\n\n\n       \n      the more i use it the more it convinces me netscape  sux  period']
"27,March,2000","


       
      netscape sux, i installed netscape to see how my pages look in netscape. totally unreadable. hence the conclusion, netscape sux
     

 
    
","['\n\n\n       \n      netscape sux, i installed netscape to see how my pages look in netscape.', 'totally unreadable.', 'hence the conclusion, netscape sux']"
"27,March,2000","


       
      i/m bored i think i'll go drown myself in a bag full of chips
     

 
    
","[""\n\n\n       \n      i/m bored i think i'll go drown myself in a bag full of chips""]"
"27,March,2000","


       
      for a list of all the places i've been to got to  urllink places.chiragpatnaik.com 
     

 
    
","[""\n\n\n       \n      for a list of all the places i've been to got to  urllink places.chiragpatnaik.com""]"
"27,March,2000","


       
      today's place is called naugam, this place is so far from civilisation that the nearest school is 35 kms away, cool eh? you might also be interested to know that this place lies in the kashmir valley is right on the loc with pakistan. so sensitive is this place that one is not allowed to use crackers for  diwali . a nice place to visit for a while but horrible place to stay. a lot of picnic spots next to mountain streams and brooks, and also a lot of hiking trails, camping out is really fun here. there is no animal threat of anykind except for the occasional leopard and the like.  last words: nice place wish i could visit every year, unfortunately can't because of pakistani terrorists which makes this a non family station. maybe in a century hence it'll be peaceful again, till then sigh
     

 
    
","[""\n\n\n       \n      today's place is called naugam, this place is so far from civilisation that the nearest school is 35 kms away, cool eh?"", 'you might also be interested to know that this place lies in the kashmir valley is right on the loc with pakistan.', 'so sensitive is this place that one is not allowed to use crackers for  diwali .', 'a nice place to visit for a while but horrible place to stay.', 'a lot of picnic spots next to mountain streams and brooks, and also a lot of hiking trails, camping out is really fun here.', 'there is no animal threat of anykind except for the occasional leopard and the like.', ""last words: nice place wish i could visit every year, unfortunately can't because of pakistani terrorists which makes this a non family station."", ""maybe in a century hence it'll be peaceful again, till then sigh""]"
"27,March,2000","


       
      today's town will have to wait for another couple of hours.  for those who cam ein late, i'm doing a series of writeups on the towns and cities i've visited over the past fifteen years. you can the read about the ones before in the blog or the archives
     

 
    
","[""\n\n\n       \n      today's town will have to wait for another couple of hours."", ""for those who cam ein late, i'm doing a series of writeups on the towns and cities i've visited over the past fifteen years."", 'you can the read about the ones before in the blog or the archives']"
"27,March,2000","


       
      i think i'll take a break now. for lunch that is  i'll be back 
     

 
    
","[""\n\n\n       \n      i think i'll take a break now."", ""for lunch that is  i'll be back""]"
"27,March,2000","


       
      damn thing still don't work, the timezone that is
     

 
    
","[""\n\n\n       \n      damn thing still don't work, the timezone that is""]"
"27,March,2000","


       
      i'm registering domain names by the dozen, get on to the band wagon to at  urllink namezero . you could visit  urllink my site  too for more details.
     

 
    
","[""\n\n\n       \n      i'm registering domain names by the dozen, get on to the band wagon to at  urllink namezero ."", 'you could visit  urllink my site  too for more details.']"
"27,March,2000","


       
      yesssssss! i've done it, i've my own domain at  urllink www.chiragpatnaik.com . long live free enterprise long live the free net. hurrrah
     

 
    
","['\n\n\n       \n      yesssssss!', ""i've done it, i've my own domain at  urllink www.chiragpatnaik.com ."", 'long live free enterprise long live the free net.', 'hurrrah']"
"27,March,2000","


       
      i think i'll sign off fr today i've had enuff. our team needs help some serious help
     

 
    
","[""\n\n\n       \n      i think i'll sign off fr today i've had enuff."", 'our team needs help some serious help']"
"26,March,2000","


       
      why doesn't the indian timezone work in  urllink blogger . they gotta fix it
     

 
    
","[""\n\n\n       \n      why doesn't the indian timezone work in  urllink blogger ."", 'they gotta fix it']"
"26,March,2000","


       
      fight buggers fight we gotta win this one. in case u'r wondering what i'm talking about go  urllink here  for a live scoreboard and match details
     

 
    
","['\n\n\n       \n      fight buggers fight we gotta win this one.', ""in case u'r wondering what i'm talking about go  urllink here  for a live scoreboard and match details""]"
"26,March,2000","


       
      india is losing, damn damn damn, we ought to stop playing cricket for a year or two maybe even a decade or two
     

 
    
","['\n\n\n       \n      india is losing, damn damn damn, we ought to stop playing cricket for a year or two maybe even a decade or two']"
"26,March,2000","


       
      you really should try  urllink human click , lets u keep in touch with u'r visitors
     

 
    
","[""\n\n\n       \n      you really should try  urllink human click , lets u keep in touch with u'r visitors""]"
"26,March,2000","


       
      i'm having a generally a fun day today have been online for quite some time now and will be for some time to come, hope the day never ends. if anybody is a caesar 3 freak like pls contact  urllink me . 
     

 
    
","[""\n\n\n       \n      i'm having a generally a fun day today have been online for quite some time now and will be for some time to come, hope the day never ends."", 'if anybody is a caesar 3 freak like pls contact  urllink me .']"
"26,March,2000","


       
      my url isn't yet active, will be in  24 hrs and then a couple days for me to put up something on it
     

 
    
","[""\n\n\n       \n      my url isn't yet active, will be in  24 hrs and then a couple days for me to put up something on it""]"
"26,March,2000","


       
      i have a new url, www.chiragpatnaik.com, for free. get u'r url at  urllink namezero 
     

 
    
","['\n\n\n       \n      i have a new url, www.chiragpatnaik.com, for free.', ""get u'r url at  urllink namezero""]"
"26,March,2000","


       
      by the way, when prez clinton left india for pakistan he had to use a decoy plane, the secret service feared the plane would be shot down by stinger missiles in pakistan. stinger missiles in pakistan? well they were supplied with gay abandon to the afgani's during the afganistan war. and now are in the hands of the pakistani terrorists.  the best part is yet to come. the cia tried to buy back the stingers, then they said they'd pay for photographs of the broken stingers. yes ppl it's all true, it's all happening here, the most happening place on this planet.  the  nuclear flashpoint in this world.
     

 
    
","['\n\n\n       \n      by the way, when prez clinton left india for pakistan he had to use a decoy plane, the secret service feared the plane would be shot down by stinger missiles in pakistan.', 'stinger missiles in pakistan?', ""well they were supplied with gay abandon to the afgani's during the afganistan war."", 'and now are in the hands of the pakistani terrorists.', 'the best part is yet to come.', ""the cia tried to buy back the stingers, then they said they'd pay for photographs of the broken stingers."", ""yes ppl it's all true, it's all happening here, the most happening place on this planet."", 'the  nuclear flashpoint in this world.']"
"26,March,2000","


       
      todays town is nasirabad. this town is in the western state of rajasthan, this place is extremely hot in the summers and has a perenial water shortage. nearby places of interest include ajmer which has the dargah(shrine) of someone famous (forgot who it was). it is rumoured the emperor akbar himself had come here and had had his prayers fulfilled. i did class 2 and 3 here, in battle axe montessori and the st. anslem's school. last words okay place, absolutely no crime and i don't wanna go there again, ever..
     

 
    
","['\n\n\n       \n      todays town is nasirabad.', 'this town is in the western state of rajasthan, this place is extremely hot in the summers and has a perenial water shortage.', 'nearby places of interest include ajmer which has the dargah(shrine) of someone famous (forgot who it was).', 'it is rumoured the emperor akbar himself had come here and had had his prayers fulfilled.', ""i did class 2 and 3 here, in battle axe montessori and the st. anslem's school."", ""last words okay place, absolutely no crime and i don't wanna go there again, ever..""]"
"26,March,2000","


       
      new look to my site and blog, hope u like it. the old look was ripped of  urllink tarsh's  blog. the new look is mine, sorry to tarsh and thanks to  urllink doug miller 
     

 
    
","['\n\n\n       \n      new look to my site and blog, hope u like it.', ""the old look was ripped of  urllink tarsh's  blog."", 'the new look is mine, sorry to tarsh and thanks to  urllink doug miller']"
"26,March,2000","


       
      i'm back frm b'bay. had a great exam, hope for an interview call. funny thing was there were a few errors in the exam paper. will post details in 12 hrs time, also will continue on my continuing series on the places i've visited.
     

 
    
","[""\n\n\n       \n      i'm back frm b'bay."", 'had a great exam, hope for an interview call.', 'funny thing was there were a few errors in the exam paper.', ""will post details in 12 hrs time, also will continue on my continuing series on the places i've visited.""]"
"25,March,2000","


       
      i'm leaving for bombay in an hour so see y'all after two days sunday eveneing or monday morning my time
     

 
    
","[""\n\n\n       \n      i'm leaving for bombay in an hour so see y'all after two days sunday eveneing or monday morning my time""]"
"24,March,2000","


       
      have added the  urllink webloggers  code 
     

 
    
",['\n\n\n       \n      have added the  urllink webloggers  code']
"23,March,2000","


       
      blogger is now on the irc on dalnet type /join #blogger in u'r irc client to join the channel
     

 
    
","[""\n\n\n       \n      blogger is now on the irc on dalnet type /join #blogger in u'r irc client to join the channel""]"
"23,March,2000","


       
      i'll be going to b'bay again tommorow, so there'll be no post tommorow or day after, why am i going to b'bay so often? you ask. well! i'm looking for a place to study. i'll be also going to calcutta in the second week of april. why? this time for a job. (i call it a paid holiday)
     

 
    
","[""\n\n\n       \n      i'll be going to b'bay again tommorow, so there'll be no post tommorow or day after, why am i going to b'bay so often?"", 'you ask.', 'well!', ""i'm looking for a place to study."", ""i'll be also going to calcutta in the second week of april."", 'why?', 'this time for a job.', '(i call it a paid holiday)']"
"23,March,2000","


       
      the next place i'm writing about is wellington, no it is not the wellington you're thinking of. this wellington is in the southern indian state of tamil nadu, my father was here for his staff college course at the defence services staff college. this place too served as a jump of point visit several southern indian cities like mysore, chennai (madras) and the like. the hill station oooty is just a stones throw away from here. there are two ways to get to wellington. one is to take a bus from the nearest railhead coimbatore, and the other is to take the toy train, just joking, it's actually a metre gauge train which has a third rail in between the two tracks to provide traction while climbing the steep hill sides. again a very picturesque location. i did class 1 and half of class 2 here, we had stayed here for only 1 year. i studied in a school called the holy angels. the year of stay 1985.   last words: a very sleepy town, absolutely no crime, ideal retirement home, i could live here, in 50 years time
     

 
    
","[""\n\n\n       \n      the next place i'm writing about is wellington, no it is not the wellington you're thinking of."", 'this wellington is in the southern indian state of tamil nadu, my father was here for his staff college course at the defence services staff college.', 'this place too served as a jump of point visit several southern indian cities like mysore, chennai (madras) and the like.', 'the hill station oooty is just a stones throw away from here.', 'there are two ways to get to wellington.', ""one is to take a bus from the nearest railhead coimbatore, and the other is to take the toy train, just joking, it's actually a metre gauge train which has a third rail in between the two tracks to provide traction while climbing the steep hill sides."", 'again a very picturesque location.', 'i did class 1 and half of class 2 here, we had stayed here for only 1 year.', 'i studied in a school called the holy angels.', 'the year of stay 1985.   last words: a very sleepy town, absolutely no crime, ideal retirement home, i could live here, in 50 years time']"
"23,March,2000","


       
      did you people hear, windows (primitive version) source code has been leaked, i'm looking for it, if nebody knows where, please mail me. i want it, i want it. why? you ask. obviously so that i can be the next bill gates, hehehehe
     

 
    
","[""\n\n\n       \n      did you people hear, windows (primitive version) source code has been leaked, i'm looking for it, if nebody knows where, please mail me."", 'i want it, i want it.', 'why?', 'you ask.', 'obviously so that i can be the next bill gates, hehehehe']"
"22,March,2000","


       
      the first place i'm writing about is a place called yol camp, this town is based on a hillside in the kangra district in the state of himachal pradesh. this place is near dhramsala, which more famous due to the the tibetan government in exile. i've lived in this town twice, the first time when iwas doing kindergarten, and then more recently in class 8th and 9th. i remember a few things from my first stay. i used to go to a school called the sacred heart school, which is about 8 km away from yol. and the other time i studied in kendriya vidalaya (central school).   this place has a lot of temples around it. this place also served as a jump of point to visit other cities and towns in north india, like pathankot, jammu, vaishno devi(a very big pilgrimage spot). a very picturesque locale. as the whole town is based on the hillside, and the roads up the hill are inclined at a 70 degree angle, and is wont to happen, a lot of accidents take place.   last words: a very sleepy town, absolutely no crime, ideal retirement home (let me otta here)
     

 
    
","[""\n\n\n       \n      the first place i'm writing about is a place called yol camp, this town is based on a hillside in the kangra district in the state of himachal pradesh."", 'this place is near dhramsala, which more famous due to the the tibetan government in exile.', ""i've lived in this town twice, the first time when iwas doing kindergarten, and then more recently in class 8th and 9th."", 'i remember a few things from my first stay.', 'i used to go to a school called the sacred heart school, which is about 8 km away from yol.', 'and the other time i studied in kendriya vidalaya (central school).', 'this place has a lot of temples around it.', 'this place also served as a jump of point to visit other cities and towns in north india, like pathankot, jammu, vaishno devi(a very big pilgrimage spot).', 'a very picturesque locale.', 'as the whole town is based on the hillside, and the roads up the hill are inclined at a 70 degree angle, and is wont to happen, a lot of accidents take place.', 'last words: a very sleepy town, absolutely no crime, ideal retirement home (let me otta here)']"
"22,March,2000","


       
      i will be puting up daily reviews of the places i've visited over the last 15 years, since i don't remember anything previous to that(i'm 20). i'll be posting to the blog first and the same will be availablke thru links on my website. it'll give some continuity to the blog and something for me to post everyday.
     

 
    
","[""\n\n\n       \n      i will be puting up daily reviews of the places i've visited over the last 15 years, since i don't remember anything previous to that(i'm 20)."", ""i'll be posting to the blog first and the same will be availablke thru links on my website."", ""it'll give some continuity to the blog and something for me to post everyday.""]"
"22,March,2000","


       
      sylloge is holding a 5k contest. the idea is to be creative with the 5k page size limit, this includes the images, scripts, etc, etc. for more details visit  urllink the 5k award 
     

 
    
","['\n\n\n       \n      sylloge is holding a 5k contest.', 'the idea is to be creative with the 5k page size limit, this includes the images, scripts, etc, etc.', 'for more details visit  urllink the 5k award']"
"21,March,2000","


       
      hello ppl, this is a brand new day (when isn't it), not very original i admit(whoopie goldberg in sister act 2), but a brand new day anyhow.   if you've heard about the recent massacare in kashmir my pakistani terrorists, and feel outraged, please drop a line to your respective head of state, please also feel free to drop me a line at  webmaster@india.4mg.com  personally i think we should retaliate in kind, 10 for every one of ours is fair enough. if that does not stop 100 for one is even fairer. if i have some smart alec who says an eye for an eye will make the world go blind, i don't mean an eye for an eye, i mean  two  eyes for an eye, we are already half blind, lets blind them altogether.  a full fledged pentium capable pc can be made under $200, using a netappliance called i-opener by  netpliance corp . this device originally runs a  real time os called  qnx . those who don't know what a real time os is, please visit the qnx website and see their demo at  www.qnx.com .  just how do u do this amazing thing, go to  www.linux-hacker.net/iopener/  for more details. don't worry the machine does not run exclusively linux as the website indicates. it runs others too (windows, beos). by the way if anybody has a recent beos cd (the one i have is way too old) lying about and could take the time and expense to send it to me, i'd be very grateful. email me for more details at  cpatnaik@email.com .   if you are the anti establishment kind, you may want to visit  www.2600.com/news/1999/1112.html  for lowdown on decss. 2600.com is looking for mirrors for decss, (yep that's the dvd ripper). though i fail to see, how encryption would have prevented piracy, one needs only to copy the disc.  in other news a billionaire wants to start a net univ for free read all about it on  wired   a long entry, as you'd have guessed this was done offline. what to do? web is very expensive in this part of the world. ;) cheerio, i really am hoping that they'd devise a way to update by email, and while they're at it also an offline client (i know know, totally contrary to the spirit of a blog, but no harm wishing it)
     

 
    
","[""\n\n\n       \n      hello ppl, this is a brand new day (when isn't it), not very original i admit(whoopie goldberg in sister act 2), but a brand new day anyhow."", ""if you've heard about the recent massacare in kashmir my pakistani terrorists, and feel outraged, please drop a line to your respective head of state, please also feel free to drop me a line at  webmaster@india.4mg.com  personally i think we should retaliate in kind, 10 for every one of ours is fair enough."", 'if that does not stop 100 for one is even fairer.', ""if i have some smart alec who says an eye for an eye will make the world go blind, i don't mean an eye for an eye, i mean  two  eyes for an eye, we are already half blind, lets blind them altogether."", 'a full fledged pentium capable pc can be made under $200, using a netappliance called i-opener by  netpliance corp .', 'this device originally runs a  real time os called  qnx .', ""those who don't know what a real time os is, please visit the qnx website and see their demo at  www.qnx.com ."", 'just how do u do this amazing thing, go to  www.linux-hacker.net/iopener/  for more details.', ""don't worry the machine does not run exclusively linux as the website indicates."", 'it runs others too (windows, beos).', ""by the way if anybody has a recent beos cd (the one i have is way too old) lying about and could take the time and expense to send it to me, i'd be very grateful."", 'email me for more details at  cpatnaik@email.com .', 'if you are the anti establishment kind, you may want to visit  www.2600.com/news/1999/1112.html  for lowdown on decss.', ""2600.com is looking for mirrors for decss, (yep that's the dvd ripper)."", 'though i fail to see, how encryption would have prevented piracy, one needs only to copy the disc.', ""in other news a billionaire wants to start a net univ for free read all about it on  wired   a long entry, as you'd have guessed this was done offline."", 'what to do?', 'web is very expensive in this part of the world.', "";) cheerio, i really am hoping that they'd devise a way to update by email, and while they're at it also an offline client (i know know, totally contrary to the spirit of a blog, but no harm wishing it)""]"
"21,March,2000","


       
      i finally decide to add the webring code for the webring by  urllink  jish  will add another soon.
     

 
    
",['\n\n\n       \n      i finally decide to add the webring code for the webring by  urllink  jish  will add another soon.']
"14,March,2000","


       
      am not able to put in my bit regularly, the web is expensive here, hope these guys will figure out how to update the blog by email. i encourage you to send me some email, so that i update this more often. am quite busy these days with interviews and exams for both jobs and education. either way i'll be able to be online longer sio i can post more such thotless thots
     

 
    
","['\n\n\n       \n      am not able to put in my bit regularly, the web is expensive here, hope these guys will figure out how to update the blog by email.', 'i encourage you to send me some email, so that i update this more often.', 'am quite busy these days with interviews and exams for both jobs and education.', ""either way i'll be able to be online longer sio i can post more such thotless thots""]"
"14,March,2000","


       
      sorry ppl, had gone to b'bay for an interview, will be more regular from now on send me mail if you get the opportunity
     

 
    
","[""\n\n\n       \n      sorry ppl, had gone to b'bay for an interview, will be more regular from now on send me mail if you get the opportunity""]"
