Address,BuildingArea,YearBuilt
24 Kerferd Pl,122.0,1900.0
5 Withers St,88.0,1910.0
44 Draper St,,
2 Dundas Pl,181.0,1880.0
23 Finlay St,,
31 Richardson St,,
4a Gatehouse La,85.0,2000.0
60 Brooke St,,
140 Danks St,117.0,1900.0
70 Barrett St,,
65 Graham St,98.0,1890.0
1 Herbert Pl,,
364 Montague St,83.0,1890.0
86 Mills St,147.0,1900.0
28 Dinsdale St,,
90 Danks St,,
129 Kerferd Rd,,1900.0
97 Page St,146.0,1890.0
36 Ashworth St,,
55 Withers St,254.0,1910.0
18 Herbert St,,
10/140 Kerferd Rd,,
9 Merton Pl,,
55 Merton St,123.0,1900.0
16 Dinsdale St,119.0,1990.0
51 Graham St,,
143 Kerferd Rd,,
49 Page St,131.0,1890.0
13/52 Moubray St,34.0,1970.0
115 Page St,207.0,1910.0
32 Page St,,
34 Richardson St,,
2b Dundas Pl,,
22 Greig St,,
27 Barrett St,145.0,1880.0
3 Faussett St,,
44 Greig St,,
6 Brooke St,68.0,1890.0
7 Herbert Pl,65.0,1900.0
8 Kerferd Pl,185.0,1900.0
5 Reed St,,
227a Danks St,,
17 Reed St,134.0,1890.0
74 Bridport St,,
9 Durham St,54.0,1900.0
30 Austin St,122.0,2003.0
6 Smith St,263.0,1930.0
5/6 Yarralea St,,2013.0
136A Fulham Rd,,
1/9 Roemer Cr,,
4 Tuckett St,,
2/21 Fulham Rd,,
44 Shiers St,203.0,1925.0
83 Fulham Rd,165.0,1910.0
29 Alphington St,,1915.0
3/19 Harker St,60.0,1960.0
4/2 Miller St,140.0,2004.0
2/5 Yarana Rd,,
4/5 Chandler Hwy,,
69 Lucerne Cr,,
815 Heidelberg Rd,,
44 Naroon Rd,,
11 Tower Av,,
1/17 Rex Av,,
3/98 Grange Rd,,
10 Bennett St,112.0,1970.0
38 Bennett St,271.0,2008.0
2c Hamilton St,131.0,2010.0
5/5 Yarana Rd,60.0,1960.0
7/7 Chandler Hwy,,
1/14 Fulham Rd,61.0,1965.0
17 Lowther St,,
29 Naroon Rd,,
13a Fulham Rd,,
32/23 Coate Av,,
22 Lowther St,,
6/11 Broomfield Av,,
11 Margaret Gr,272.0,1930.0
21 Como St,211.0,1916.0
6 Naroon Rd,,
42 Shiers St,210.0,1920.0
158 Queen St,242.0,2015.0
59 Bracken Gr,268.0,2005.0
1/123 Blyth St,125.0,2013.0
4 Blyth St,120.0,1930.0
20 Linnet St,,
29 Rose St,220.0,1962.0
1/170 Blyth St,94.0,1955.0
5/35 Grieve Pde,,
156 Maidstone St,123.0,1955.0
11 Keeshan Ct,,
1/4 Deavey Ct,,
1/136 Queen St,93.0,1988.0
173 Queen St,22.0,1953.0
1/265 Queen St,,1997.0
3/26 Grieve Pde,76.0,1990.0
261 Queen St,,
4/5 Rose St,57.0,1980.0
1/60 David St,,
1A Merritt Ct,152.0,
4/31 Millers Rd,65.0,1965.0
111/112 Pier St,,
24 Wren St,130.0,1950.0
54 Seves St,,
1/152 Blyth St,176.0,
2/6 Galvin St,,
4/57 Blyth St,141.0,2014.0
10 Wilga Av,,
164 Maidstone St,,1960.0
3/25 Rayner St,,
3/46 Sargood St,77.0,1990.0
1/57 Blyth St,,
22 Fenfield St,87.0,1950.0
5/8 David St,76.0,2013.0
1/28 Seves St,,
27 McIntyre Dr,136.0,1965.0
4 Boyd St,,
5a Emu Av,,
12 Spear Ct,,
185 Queen St,,
3/20 Mulga St,113.0,2007.0
95 Blyth St,,
51 Millers Rd,,
2/119 Railway St N,,
12 Ransom Av,,
2/5 Rose St,58.0,1980.0
24 McIntyre Dr,,
104 Maidstone St,100.0,1950.0
49 Bent St,,
5/57 Blyth St,3.0,2014.0
15 Kookaburra St,,
219 Civic Pde,,
3 Curtin Ct,,1970.0
2/60 David St,91.0,1996.0
1 Beuron Rd,108.0,1950.0
45 Hearn St,251.0,1965.0
4 Knapp St,117.0,1970.0
103 Sixth Av,,
80A Hansen St,,
21 Hatherley Gr,,
3/66 Marion St,77.0,2009.0
153 Mills St,,
1/70 Misten Av,,
33 Carthy St,167.0,1967.0
47 Ginifer Av,,
16 Harris St,,
1/5 Little St,130.0,2012.0
58a Clematis Av,,
1/77 Hansen St,,
21 Joel Av,,
1/95 Mills St,118.0,1970.0
2/5 Stapley Cr,,
5 Binns St,116.0,1960.0
2/9 First Av,,
1/28 Irwin Av,,
3/49 Misten Av,,
29a The Broadway,,
25 Allan St,169.0,1965.0
9 Fourth Av,,
11a Edward Av,,
45 Freemans Rd,196.0,1960.0
21 Hatherley Gr,,
1B Paproth Gr,,
7 Seventh Av,,
1/256 Mason St,,1965.0
21 Allan St,,
56a First Av,,
63a First Av,,
59 Misten Av,,
85a First Av,,
22 Joel Av,,
11 Mahon Av,,
2/36 May St,109.0,2012.0
11 Beevers St,97.0,1960.0
2/10 Cleghorn Av,,
2 Edward Av,,
10 Murphy St,,
128 Second Av,,
5/24 Valerian Av,,
2/31 Cooper Av,,
9 Begonia Av,,
1/36 Amaranth Av,,
3/36 Amaranth Av,,
61 Cooper Av,,
10 Freemans St,,
16 Beevers St,,
4/63 Marion St,46.0,1970.0
150A McIntosh Rd,,
21 Neal Ct,603.0,
31 Duosa Rd,,
252 Millers Rd,170.0,2008.0
1/156 Chambers Rd,100.0,2010.0
19 Cleghorn Av,,
2 Gadsden St,157.0,1960.0
24 Hansen St,160.0,1950.0
4 Prismall St,,2008.0
1/21 Freemans Rd,,
122 McIntosh Rd,,
35 May St,,
29 Cyclamen Av,,
6 Hill St,130.0,1960.0
84 May St,,
81 Fifth Av,,
23 Huxtable Av,,
155 Chambers Rd,,
61a First Av,,
268d Mason St,,
5 Cresser St,158.0,1960.0
1/33 Fifth Av,,
1/8 Fourth Av,,
107 McIntosh Rd,,
10 Knapp St,,
4/221 Blackshaws Rd,70.0,1970.0
56a MacDonald Av,,
126 Sixth Av,,
24 Hume St,,
8/19 Mercer Rd,76.0,1964.0
1/42 Adelaide St,,
14/71 Denbigh Rd,100.0,1998.0
4/769 High St,105.0,2000.0
12 Huntingtower Rd,168.0,1930.0
28 Lambeth Av,,
7 Llaneast St,150.0,1889.0
9/55 Northcote Rd,,
1/7 Railway Av,,
65 Barkly Av,,
28 Cambridge St,116.0,1888.0
6 Cambridge St,,
3/16 Fulton St,,
6 Fulton St,,
21 Lambeth Av,,
3/20 Mercer Rd,165.0,1995.0
7/53 Wattletree Rd,,
1/77 Wattletree Rd,,
12 Willis St,116.0,1910.0
12 Alleyne Av,,
3/10 Denbigh Rd,65.0,1970.0
8/71 Denbigh Rd,,
11/17 Myamyn St,,2006.0
526 Orrong Rd,,1934.0
37 Barkly Av,,
553 Dandenong Rd,,
17 Egerton Rd,,
9/19 Mercer Rd,14.0,1970.0
6/26 Mercer Rd,,
538a Orrong Rd,,
557 Orrong Rd,176.0,1930.0
5/68 Rose St,158.0,1970.0
11/38 Wattletree Rd,65.0,1970.0
24 Lambeth Av,,
18/41 Kooyong Rd,,1960.0
10 William St,107.0,1900.0
11 Adelaide St,292.0,1920.0
15/405 Dandenong Rd,38.0,1975.0
1/2 Armadale St,,
54 Denbigh Rd,208.0,1890.0
4/20 Mercer Rd,,
47 Northcote Rd,204.0,1890.0
8/58 Sutherland Rd,73.0,1970.0
6A Munro St,143.0,1915.0
40 New St,96.0,1910.0
35 Northcote Rd,222.0,1900.0
7/17 Myamyn St,203.0,2006.0
595 Orrong Rd,146.0,1910.0
3 Wattletree Rd,182.0,1930.0
7/53 Wattletree Rd,,
2b Denbigh Rd,111.0,1915.0
791 High St,121.0,1910.0
22 Lambeth Av,,
25 Llaneast St,163.0,1900.0
5 Alleyne Av,,
8/569 Orrong Rd,,
19 Sutherland Rd,,
17/579 Dandenong Rd,80.0,1966.0
11/26 Gladstone Av,,
2/1 Munro St,,
1 Cambridge St,,1888.0
367 Dandenong Rd,516.0,1935.0
10 Egerton Rd,232.0,1900.0
34a Rose St,,
42 Rose St,,
12 Auburn Gr,,
31 Hume St,,
10/581 Orrong Rd,53.0,1970.0
5/8 Sutherland Rd,,
5/92 Wattletree Rd,,2006.0
7/579 Dandenong Rd,,1966.0
1/13 Denbigh Rd,135.0,1998.0
19 Glassford St,,
14 New St,106.0,1900.0
9/38 Northcote Rd,67.0,1970.0
7/501 Orrong Rd,,
6/51 Armadale St,74.0,1969.0
30 Barkly Av,,
5/31 Inverness Av,,
12/41 Kooyong Rd,98.0,1970.0
63 Denbigh Rd,108.0,1900.0
1 Derby St,,
5/2 Mercer Rd,,
9/60 Wattletree Rd,,
13/56 Sutherland Rd,,
12 Baldwin St,80.0,1880.0
48 Barkly Av,,
7/22 Derby St,,
10/51 Armadale St,80.0,1970.0
2/377 Dandenong Rd,,1953.0
1/14 Denbigh Rd,88.0,1970.0
15 Sutherland Rd,180.0,1890.0
75 Sutherland Rd,80.0,1920.0
61 Union St,,
30 Willis St,149.0,1920.0
1/770 Malvern Rd,,
1/403 Dandenong Rd,76.0,1970.0
7 Lambeth Av,,
3 Alleyne Av,,
10/507 Dandenong Rd,,
44 Denbigh Rd,251.0,1900.0
44 Hampden Rd,333.0,2000.0
3/769 High St,3.0,2000.0
4 Mercer Rd,285.0,1998.0
4/38 Northcote Rd,,
4/576 Orrong Rd,112.0,2012.0
17 Kooyong Rd,,
896 Malvern Rd,,
1/31 Mercer Rd,91.0,1940.0
8/507 Dandenong Rd,,
8 Derby St,155.0,1990.0
1/6 Elm Gr,,
37 Lambeth Av,,
16 Llaneast St,,
2/532 Orrong Rd,,
5/555 Orrong Rd,53.0,2013.0
3/50 Denbigh Rd,,
11 Egerton Rd,,
7/844 Malvern Rd,,1980.0
24 Ayr St,135.0,1910.0
2/43 Roxburgh St,,
30 Rothwell St,108.0,1920.0
9/5 Rothwell St,62.0,1980.0
47 Union Rd,111.0,1900.0
42 Archer Av,,
7 Francis St,174.0,1910.0
2/21 Harold St,62.0,1970.0
44 The Parade,270.0,1900.0
97 Walter St,,1938.0
98 Epsom Rd,128.0,1900.0
8 Geddes St,77.0,1890.0
75 Maribyrnong Rd,435.0,1887.0
119 Roseberry St,92.0,1920.0
25 Station Av,,
10 Fenton St,109.0,1900.0
10 McCully St,168.0,1900.0
120 Epsom Rd,125.0,1904.0
47 Hurtle St,,
63 Kent St,79.0,1890.0
4 The Parade,102.0,1900.0
4 West St,125.0,1920.0
1/17 Epsom Rd,90.0,1995.0
70 Bloomfield Rd,,
41 Monash St,148.0,1960.0
2/78 Ormond Rd,,
83 Roseberry St,,
7a Station Av,,
51 Francis St,87.0,1900.0
5/39 Sandown Rd,,
33 Dalgety Dr,,2011.0
12 Mirams St,185.0,1890.0
2 The Parade,,
13 Wigton St,170.0,1910.0
17 Aspect Av,,
78 The Parade,131.0,1900.0
11 Ascot St,,
24/54 Epsom Rd,,2010.0
2 Farncomb St,,1950.0
13 Fisher Pde,177.0,1950.0
6 Leonard Cr,,
26 Newsom St,120.0,1955.0
8 Pentland St,147.0,1950.0
8/129 The Parade,58.0,1972.0
52 Monash St,139.0,1920.0
32 Myross Av,,
58 Fenton St,232.0,1978.0
70 Munro St,117.0,1910.0
1 Nairn Av,,
125 Epsom Rd,195.0,1920.0
33 Hockey La,,
55 Hunt Cr,,
3/28 Ormond Rd,62.0,1978.0
7 Angler Pde,204.0,1890.0
26 Ayr St,286.0,1900.0
2/127 Epsom Rd,104.0,1995.0
57 The Parade,127.0,1950.0
62 Mirams St,110.0,1920.0
4 Morphett Av,,
67 Hurtle St,149.0,1930.0
95 Walter St,180.0,1939.0
15 Bayview Tce,,
57 Monash St,,
54 South St,,
3/8 Walter St,132.0,2015.0
2/225 Maribyrnong Rd,,1998.0
12/9 Milton St,62.0,1975.0
107/8 Burrowes St,,
21A Geddes St,110.0,1920.0
1/20 Newsom St,160.0,2013.0
14 Ormond Rd,411.0,1910.0
4/27 Roseberry St,65.0,1970.0
126 The Parade,,
43 Bloomfield Rd,158.0,1900.0
6/17 Geddes St,,
1/60 The Parade,,
96 The Parade,402.0,1940.0
3 Aspect Av,,
45 Bloomfield Rd,,
72 Kent St,132.0,1890.0
21 Middle St,157.0,1900.0
78 Francis St,104.0,1910.0
25 Geddes St,147.0,1920.0
106/246 Union Rd,148.0,
57 Bloomfield Rd,115.0,1900.0
18/54 Epsom Rd,69.0,2012.0
15 Mirams St,155.0,1920.0
6/37 Myrnong Cr,,
44 Walter St,168.0,1900.0
25 Dalgety Dr,172.0,2011.0
7 Dalgety Dr,177.0,2010.0
37 Epsom Rd,,
6 Waller Ct,120.0,1940.0
17 Ascot St,108.0,1910.0
19 Dunlop Av,,
73 Kent St,77.0,1900.0
9/129 The Parade,,1972.0
20 Charles St,,
1 East St,144.0,2003.0
32 Geddes St,,1920.0
30 Mirams St,,
43 Mirams St,,
45 Mirams St,,
1 Bloomfield Rd,166.0,1900.0
26 Milton St,,
10 Ayr St,,
58 Bloomfield Rd,175.0,1960.0
1/91 Epsom Rd,71.0,1900.0
1 Myross Av,,
4/33 Sandown Rd,,
5 Doncaster St,273.0,2012.0
6 McCully St,,
75 Munro St,,
61 Dent St,399.0,2015.0
1 Wilgra Av,,
69 Albion Rd,220.0,1930.0
1/17 Ashburn Gr,,
3/39 Solway St,315.0,2014.0
7A Wirraway Ct,100.0,1950.0
101/218 High St,,2010.0
51 Victory Bvd,,
50 Warner Av,,
2 Benghazi Av,,
3 Dunlop St,149.0,1935.0
36 Morotai Av,,
15 Lancaster St,,
60 Munro Av,,
1/4 Taylor St,,
1/6 Crete Av,,
69a Munro Av,,
16a Nicholas St,178.0,2004.0
5 Nicholas St,112.0,1950.0
115 Ashburn Gr,618.0,2009.0
33 Eleanor St,,1940.0
3a Mernda Av,,
1/1 Nairn St,145.0,1920.0
9 Gona Ct,101.0,1950.0
60 Nicholas St,,
76 Nicholas St,163.0,1962.0
45 Yuile St,152.0,1940.0
1/24 Crete Av,,
18 Alamein Av,,
3 Lae Ct,,
8 Ryland St,160.0,1950.0
47 Yuile St,180.0,1938.0
36 Alamein Av,,
6a Glen Rd,228.0,2006.0
2 Maxwell St,,
18 Glen Rd,145.0,1945.0
11a Ambon St,398.0,2010.0
24 Fakenham Rd,,
95 Nicholas St,,
34 Munro Av,,
2a Lancaster St,,
1/1 Ramu Gr,,
8 Glen Rd,,
11 Munro Av,,
46 Nicholas St,,
29A Yuile St,444.0,2015.0
50a Baker Pde,,
20 Gloucester Rd,142.0,1960.0
3/75 Victory Bvd,,
2/17 Ashburn Gr,110.0,1990.0
34 Morotai Av,,
4 Baker Pde,,
26 Tarakan Av,,
15 Comas Gr,390.0,2010.0
14 Gloucester Rd,180.0,2016.0
56 Gloucester Rd,,
19 Lancaster St,,
3 Mustang Ct,139.0,1945.0
460 Warrigal Rd,,
3/4 Annetta Av,,
20 Alamein Av,,
55 Alamein Av,,
63 Dent St,206.0,1950.0
16 Dunscombe Av,,
30 Glen Rd,,
23 Johnston St,197.0,1927.0
4 Vears Rd,168.0,1940.0
2/43 Warner Av,,
14 Lucerne St,111.0,1950.0
5 Pitt St,104.0,1940.0
1/65 Ashburn Gr,199.0,2007.0
12 Meaden St,,
48 Nicholas St,266.0,1950.0
5 Taylor St,274.0,2000.0
1/7 Y St,,1990.0
54 Baker Pde,,1948.0
33 Highgate Gr,240.0,1935.0
9 Pitt St,278.0,1940.0
9 Ward St,,
159 Ashburn Gr,,
19 Poulter St,164.0,1947.0
15 Lancaster St,,
1/14 Eildon Rd,,1960.0
18 Teck St,,1950.0
12 Beechwood Tce,,
28 Raymond St,,
4 Mitchell Av,,
31a Douglas St,,
1/53 Winbirra Pde,201.0,2016.0
18 Montrose St,114.0,1950.0
11 Scenic Dr,302.0,2000.0
4 Scenic Dr,203.0,2000.0
8 Rocklands Rd,,
1/7 Farmer St,110.0,1970.0
1/136 High Street Rd,94.0,1950.0
10 Maroondah Rd,,
4 Peppermint Ct,,
35 Douglas St,792.0,1950.0
95 Huntingdale Rd,152.0,1970.0
2/25 May Park Av,,
9 Reid St,,
50 Cassinia Av,,
12 Delta Av,,
10 Parkhill Dr,96.0,1950.0
8 Maroondah Rd,,
1/7 Murra Ct,90.0,2003.0
58 Ashwood Dr,215.0,1950.0
9 Barrington Dr,151.0,1968.0
3 Harold St,255.0,1930.0
2/21 Electra Av,,
3/26 May Park Av,,
9 Katta Ct,,
44 Power Av,,
16 Scenic Dr,317.0,2000.0
13 Edmonds Av,,
7 Jingella Av,,
4 Nolan Ct,158.0,1975.0
4/36 Queens Pde,80.0,1970.0
2/11 Salisbury Rd,,
1/148 High Street Rd,98.0,1950.0
4/24 Mulgrave St,,
15b Rocklands Rd,,
79 Ashwood Dr,235.0,2011.0
16 Carlyle St,157.0,1950.0
147 Huntingdale Rd,,1960.0
17 Parkhill Dr,192.0,1950.0
22 Vannam Dr,147.0,1950.0
2/6 Murra Ct,88.0,2007.0
31a Shaw St,,
27 Yertchuk Av,,
1/27 Electra Av,,
2/21 Lavidge Rd,,
12 Leonard St,,
4 Teck St,86.0,1950.0
14 Ashwood Dr,120.0,1960.0
11 Cassinia Av,,
1/2 Condah Ct,85.0,1958.0
44 Power Av,,
6a Sylvan Cr,,
2/21 Lavidge Rd,,
2/2 Heather Av,,
1/72 Power Av,,
1/16 Raymond St,134.0,2012.0
17 Vannam Dr,155.0,1950.0
13 Ashwood Dr,311.0,1960.0
6 Clearview Cl,243.0,1998.0
4 Newbury Ct,198.0,1970.0
30 Ashwood Dr,,
2/53 Salisbury Rd,130.0,2012.0
577 Warrigal Rd,140.0,1960.0
13 MacEy Av,,
8 Norma Ct,118.0,1970.0
9 Rogerson St,103.0,1980.0
157 Canning St,181.0,2017.0
7 Peerless Ct,500.0,1999.0
105 Canning St,,
36 Wood St,,2008.0
2 Arbor Tce,225.0,2008.0
3 Karen Ct,,
6 Lovett Dr,,
12 Skewes St,,
16 Arcade Wy,,
19 Rogerson St,128.0,1955.0
68 Thompson St,120.0,1970.0
119 Canning St,103.0,1965.0
14 Lovett Dr,,
9 Arcade Wy,,
31 Duke St,,
97 Military Rd,143.0,1970.0
21 River Dr,,
43 Riverside Av,,
35 Templewood Cr,,
3 Clive Ct,281.0,1970.0
10 Hanley St,142.0,1955.0
40 Templewood Cr,,
22 Warrick Ct,,
15 Dumas Av,,
2/6 Nelson Ct,,2012.0
5 Glencara St,,
129 Templewood Cr,,
103 Military Rd,117.0,1970.0
7 Monmouth St,,
15 River Dr,,
16a Arbor Tce,,
40a Herbert St,,
185 Military Rd,,
33 Wood St,,
14 Herbert St,,
2/10 Military Rd,,1999.0
9 Willow Dr,149.0,
25 MacEy Av,,
8 Westminster Dr,,
8 Herbert St,106.0,1960.0
2 Hillman Ct,395.0,1992.0
18 Langham St,,
20 Westminster Dr,118.0,1965.0
23 River Dr,,
17 Lacy St,,
8 Moffat St,,
1 Templewood Cr,,
1/24 Bordeaux St,101.0,1995.0
7 Landau Pl,,
72 Military Rd,140.0,1960.0
1/5 South Tce,,1990.0
1/4 Weyburn Pl,,1993.0
19 Clarendon St,,
2 Drake Ct,117.0,1960.0
27 Lake St,,
11 South Tce,,
61 Doyle St,,
109 North Rd,150.0,1961.0
17 Cresswold Av,,
1/1 Amis Cr,,
7 Arvern Av,,
17 Cannes Av,,
2/4 Carmyle Ct,85.0,1995.0
10 Intervale Dr,,
328 Milleara Rd,,
10 Skewes St,103.0,1970.0
62 Skewes St,,1960.0
49 Rogerson St,,
43 Skewes St,153.0,1950.0
63 Doyle St,,1960.0
14 Laura Gr,,
235 Military Rd,,
57 North Rd,,
18 Linton St,180.0,1900.0
7/72 Grosvenor St,61.0,1965.0
51 Sycamore Gr,,1940.0
3/88 Grosvenor St,,
1/34 Gourlay St,120.0,2000.0
58 William St,180.0,1900.0
7/38 Brighton Rd,,
5/60 Gourlay St,60.0,1960.0
4/9 Gourlay St,65.0,1960.0
1/22 Sycamore Gr,58.0,1970.0
6/23 Gourlay St,61.0,1960.0
8 The Avenue,,
6 Blenheim St,100.0,1920.0
3/20 Orange Gr,49.0,1960.0
2/360 Carlisle St,,
2/19 Camden St,59.0,1970.0
1/17 Albion St,84.0,1930.0
10 Grosvenor St,159.0,1890.0
57 Rosamond St,,
3/33 Gourlay St,51.0,1970.0
41 Marlborough St,,1928.0
15/36 Brighton Rd,,
5/11 Albion St,,
1/4 Glenluss St,,
166 Gordon St,123.0,1920.0
36 Narrak Rd,218.0,1985.0
2/16 Westminster St,129.0,2000.0
2/74 Balwyn Rd,112.0,1998.0
19 Belgrove Av,,
26 Belgrove Av,,
112 Belmore Rd,420.0,2009.0
27 Bevan St,226.0,1985.0
129 Gordon St,266.0,
4 Melba Ct,410.0,
5/14 Parring Rd,97.0,1977.0
349 Union Rd,449.0,1935.0
3/10 Westminster St,,
22 Yongala St,356.0,2006.0
120/188 Whitehorse Rd,,
12/37 Banool Rd,,
32 Bevan St,,1919.0
3/30 Cremorne St,,
27 Parkdale Av,,
137 Yarrbat Av,,
9/5 Boston Rd,,1976.0
17 Gordon St,,
40 Metung St,349.0,2001.0
2a Pryton Ct,250.0,2000.0
4/42 Talbot Av,,
4/30 Weir St,,
1/37 Yongala St,,
142 Balwyn Rd,166.0,1930.0
59 Narrak Rd,86.0,1915.0
23 Norbert St,326.0,1996.0
9/11 Parring Rd,,1975.0
24 Bennett St,,
7 Creswick St,,
12 Kaleno Vw,,
4/3 King St,110.0,1970.0
27 Nungerner St,,
3/18 Weir St,72.0,1960.0
3 Westminster St,252.0,1985.0
89 Yarrbat Av,,
2 Henry St,101.0,1950.0
2/42 Talbot Av,,
13 Naroo St,200.0,1948.0
4/339 Union Rd,,
101/201 Whitehorse Rd,70.0,2014.0
14 Conway Cr,,
68 Elliott Av,,
2/23 Northcote Av,,
6 Tonkin Av,,
1/252 Union Rd,73.0,1960.0
9/204 Whitehorse Rd,,
8 Yongala St,126.0,1926.0
11 Belgrove Av,,
1/18 Belmore Rd,150.0,1995.0
316 Belmore Rd,308.0,2016.0
11/22 Brenbeal St,100.0,1960.0
7/1 Conway Cr,,
18 Fitzgerald St,,
3/3 Iramoo St,164.0,2003.0
9/7 Kireep Rd,,
18 Metung St,,
25 Percy St,,1930.0
2/111 Strabane Av,,
11 Monash Av,,
2/8 Evelina St,240.0,2009.0
23 Hertford Cr,,
7/7 Kireep Rd,,
5 Millah Rd,241.0,1927.0
53 Monash Av,,
3/4 Pretoria St,,
6/10 Brenbeal St,104.0,1960.0
4/4 Raynes St,,
31 Yongala St,211.0,1990.0
3/5 Dunure Ct,,
18 Kaleno Vw,,
3 Reid St,302.0,1988.0
1b Threadneedle St,,
1 Weston St,465.0,
38 Frederick St,336.0,1997.0
18 Linckens Cr,,
7 May St,,
8/483 Whitehorse Rd,76.0,1960.0
49 Yongala St,127.0,1950.0
7 Power St,,
6/29 Weir St,79.0,1950.0
150 Balwyn Rd,,
3/94 Balwyn Rd,98.0,1985.0
1/7 Boston Rd,,1980.0
19 Norbert St,,1938.0
1/32 Yerrin St,170.0,1995.0
53 Metung St,,
28 Salisbury St,,1960.0
35a Stroud St,,
87 Yerrin St,,
5/95 Balwyn Rd,88.0,1990.0
16 Grey St,,
20 Henley St,,
33 Kireep Rd,,1928.0
35 Kireep Rd,220.0,1950.0
2 Birtles Ct,,
20 Elliott Av,,
49 Metung St,502.0,
2a Monash Av,,
8 Nungerner St,264.0,1940.0
8 Pryton Ct,,
110 Strabane Av,,
1/48 Talbot Av,,
156 Whitehorse Rd,,
29 Bevan St,253.0,1981.0
