Bathroom,Bedroom2,Car,CouncilArea,CurrentMonth,CurrentYear,Distance,Landsize,Lattitude,Longtitude,Method,Postcode,Price,Propertycount,Regionname,Rooms,SellerG,Suburb,Type
1.0,3.0,1.0,32,2,2017,2.5,168.0,-37.8007,144.9958,1,3067.0,1290000.0,4019.0,3,3,32,0,0
1.0,1.0,1.0,32,7,2016,2.5,0.0,-37.8055,144.9961,1,3067.0,470000.0,4019.0,3,1,206,0,2
1.0,2.0,0.0,32,11,2016,2.5,162.0,-37.8016,144.9956,1,3067.0,1180000.0,4019.0,3,2,142,0,0
2.0,3.0,1.0,32,11,2016,2.5,120.0,-37.8022,144.9954,3,3067.0,1195000.0,4019.0,3,3,142,0,0
1.0,2.0,0.0,32,5,2016,2.5,182.0,-37.8021,144.9976,1,3067.0,1012500.0,4019.0,3,2,206,0,0
1.0,3.0,2.0,32,5,2016,2.5,512.0,-37.80696302719972,144.99671101938742,3,3067.0,970000.0,4019.0,3,2,32,0,2
1.0,2.0,1.0,32,7,2016,2.5,172.0,-37.8086,144.9946,1,3067.0,1030000.0,4019.0,3,2,32,0,0
1.0,3.0,2.0,32,7,2016,2.5,512.0,-37.80696302719972,144.99671101938742,1,3067.0,927000.0,4019.0,3,3,32,0,0
2.0,3.0,1.0,22,3,2016,13.5,303.0,-37.718,144.878,0,3042.0,840000.0,3464.0,7,3,206,2,1
2.0,3.0,1.0,22,3,2016,13.5,0.0,-37.7203,144.8755,4,3042.0,730000.0,3464.0,7,3,206,2,0
2.0,3.0,1.0,22,4,2017,13.5,0.0,-37.7203,144.8755,3,3042.0,770000.0,3464.0,7,3,206,2,0
1.0,2.0,1.0,22,4,2017,13.5,272.0,-37.7294,144.888,1,3042.0,603000.0,3464.0,7,2,206,2,0
2.0,3.0,2.0,22,4,2017,13.5,239.0,-37.7218,144.8837,1,3042.0,700000.0,3464.0,7,3,41,2,1
1.0,2.0,1.0,22,4,2017,13.5,290.0,-37.7273,144.8744,1,3042.0,600000.0,3464.0,7,3,176,2,0
1.0,2.0,1.0,22,4,2017,13.5,168.0,-37.7215,144.8864,4,3042.0,500000.0,3464.0,7,2,22,2,2
1.0,3.0,2.0,22,4,2016,13.5,512.0,-37.80696302719972,144.99671101938742,4,3042.0,420000.0,3464.0,7,2,22,2,1
1.0,3.0,2.0,22,4,2016,13.5,512.0,-37.80696302719972,144.99671101938742,4,3042.0,500000.0,3464.0,7,3,206,2,1
1.0,3.0,2.0,22,6,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,1035000.0,3464.0,7,5,5,2,0
1.0,3.0,2.0,22,6,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,960000.0,3464.0,7,4,22,2,0
1.0,3.0,2.0,22,6,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,960000.0,3464.0,7,4,206,2,0
1.0,2.0,1.0,22,6,2016,13.5,620.0,-37.7173,144.8872,1,3042.0,720000.0,3464.0,7,3,22,2,0
1.0,3.0,2.0,22,6,2016,13.5,597.0,-37.7259,144.8792,1,3042.0,785000.0,3464.0,7,4,75,2,0
3.0,6.0,2.0,22,7,2016,13.5,976.0,-37.7239,144.8735,3,3042.0,725000.0,3464.0,7,6,22,2,0
1.0,2.0,1.0,22,7,2016,13.5,110.0,-37.7216,144.871,1,3042.0,450000.0,3464.0,7,2,22,2,1
1.0,2.0,1.0,22,7,2016,13.5,141.0,-37.7298,144.8883,1,3042.0,515000.0,3464.0,7,2,22,2,2
1.0,3.0,2.0,22,8,2016,13.5,512.0,-37.80696302719972,144.99671101938742,4,3042.0,680000.0,3464.0,7,3,206,2,0
1.0,2.0,1.0,22,10,2016,13.5,120.0,-37.7234,144.8792,1,3042.0,530000.0,3464.0,7,2,206,2,2
1.0,3.0,6.0,22,10,2016,13.5,1063.0,-37.7249,144.8728,0,3042.0,895000.0,3464.0,7,3,263,2,0
1.0,3.0,2.0,22,10,2016,13.5,512.0,-37.80696302719972,144.99671101938742,4,3042.0,600000.0,3464.0,7,3,206,2,2
1.0,3.0,1.0,22,10,2016,13.5,0.0,-37.7217,144.8783,1,3042.0,805000.0,3464.0,7,3,206,2,0
1.0,3.0,2.0,22,10,2016,13.5,512.0,-37.80696302719972,144.99671101938742,0,3042.0,760000.0,3464.0,7,3,22,2,1
1.0,3.0,1.0,22,11,2017,13.5,265.0,-37.7302,144.8855,1,3042.0,752000.0,3464.0,7,3,206,2,2
1.0,3.0,2.0,22,12,2016,13.5,512.0,-37.80696302719972,144.99671101938742,4,3042.0,580000.0,3464.0,7,3,206,2,2
1.0,3.0,2.0,22,12,2016,13.5,512.0,-37.80696302719972,144.99671101938742,0,3042.0,725000.0,3464.0,7,3,255,2,0
1.0,3.0,2.0,22,8,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,758000.0,3464.0,7,4,142,2,0
1.0,2.0,1.0,22,8,2016,13.5,192.0,-37.7177,144.8787,1,3042.0,440000.0,3464.0,7,2,22,2,2
1.0,3.0,2.0,22,5,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,970000.0,3464.0,7,3,22,2,0
2.0,3.0,2.0,22,5,2016,13.5,596.0,-37.7248,144.8699,0,3042.0,755000.0,3464.0,7,5,244,2,0
1.0,3.0,2.0,22,10,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,985000.0,3464.0,7,4,22,2,0
2.0,3.0,2.0,22,10,2016,13.5,165.0,-37.727,144.887,0,3042.0,700000.0,3464.0,7,3,41,2,1
1.0,3.0,2.0,22,10,2016,13.5,512.0,-37.80696302719972,144.99671101938742,3,3042.0,509500.0,3464.0,7,2,206,2,2
1.0,3.0,2.0,22,4,2016,13.5,971.0,-37.7186,144.876,1,3042.0,830000.0,3464.0,7,3,22,2,0
1.0,2.0,1.0,22,7,2016,13.5,164.0,-37.7218,144.8863,1,3042.0,462500.0,3464.0,7,2,22,2,2
2.0,3.0,2.0,22,7,2016,13.5,657.0,-37.7269,144.8742,3,3042.0,670000.0,3464.0,7,3,22,2,0
1.0,2.0,1.0,22,7,2016,13.5,612.0,-37.7187,144.8765,1,3042.0,675000.0,3464.0,7,2,22,2,0
2.0,3.0,5.0,22,7,2016,13.5,612.0,-37.7173,144.8796,1,3042.0,1042000.0,3464.0,7,3,206,2,0
1.0,3.0,1.0,22,9,2016,13.5,775.0,-37.7231,144.8835,1,3042.0,910000.0,3464.0,7,3,184,2,0
3.0,5.0,4.0,22,9,2016,13.5,531.0,-37.7263,144.8679,1,3042.0,773000.0,3464.0,7,4,41,2,0
1.0,3.0,2.0,22,9,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,715000.0,3464.0,7,3,22,2,0
3.0,3.0,2.0,22,3,2017,13.5,555.0,-37.7285,144.8694,0,3042.0,810000.0,3464.0,7,3,22,2,0
2.0,3.0,2.0,22,3,2017,13.5,422.0,-37.7164,144.8792,1,3042.0,715000.0,3464.0,7,3,263,2,0
1.0,3.0,3.0,22,3,2017,13.5,614.0,-37.7194,144.8827,1,3042.0,790000.0,3464.0,7,3,206,2,0
1.0,3.0,2.0,22,6,2016,13.5,512.0,-37.80696302719972,144.99671101938742,4,3042.0,460000.0,3464.0,7,2,206,2,1
2.0,2.0,1.0,22,6,2016,13.5,161.0,-37.7231,144.8802,3,3042.0,540000.0,3464.0,7,3,206,2,1
2.0,3.0,1.0,22,11,2016,13.5,293.0,-37.72,144.8776,3,3042.0,825000.0,3464.0,7,3,22,2,1
1.0,3.0,1.0,22,5,2016,13.5,579.0,-37.7226,144.8733,1,3042.0,685000.0,3464.0,7,3,22,2,0
1.0,3.0,2.0,22,5,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,445000.0,3464.0,7,3,41,2,2
1.0,3.0,1.0,22,8,2016,13.5,623.0,-37.7184,144.882,1,3042.0,805000.0,3464.0,7,3,22,2,0
1.0,2.0,1.0,22,8,2016,13.5,141.0,-37.7202,144.8797,1,3042.0,510000.0,3464.0,7,2,206,2,2
2.0,3.0,1.0,22,8,2016,13.5,212.0,-37.7181,144.8824,1,3042.0,612000.0,3464.0,7,3,206,2,0
1.0,3.0,2.0,22,4,2016,13.5,612.0,-37.7169,144.8815,1,3042.0,662000.0,3464.0,7,3,41,2,0
3.0,4.0,2.0,22,9,2016,13.5,532.0,-37.7263,144.869,1,3042.0,978000.0,3464.0,7,4,206,2,0
1.0,3.0,1.0,22,2,2017,13.5,585.0,-37.72,144.878,0,3042.0,720000.0,3464.0,7,3,206,2,0
1.0,3.0,2.0,22,7,2016,13.5,512.0,-37.80696302719972,144.99671101938742,0,3042.0,474000.0,3464.0,7,2,22,2,2
1.0,3.0,2.0,22,7,2016,13.5,512.0,-37.80696302719972,144.99671101938742,3,3042.0,490000.0,3464.0,7,2,104,2,1
1.0,3.0,2.0,22,6,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,405000.0,3464.0,7,3,255,2,0
1.0,3.0,2.0,22,11,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,715000.0,3464.0,7,3,22,2,1
1.0,3.0,2.0,22,11,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,671500.0,3464.0,7,3,184,2,2
1.0,4.0,2.0,22,11,2016,13.5,509.0,-37.7261,144.8785,1,3042.0,765000.0,3464.0,7,4,241,2,0
2.0,4.0,3.0,22,11,2016,13.5,628.0,-37.7256,144.8739,1,3042.0,900000.0,3464.0,7,4,122,2,0
1.0,3.0,2.0,22,8,2016,13.5,512.0,-37.80696302719972,144.99671101938742,1,3042.0,820000.0,3464.0,7,3,206,2,2
1.0,3.0,2.0,22,7,2016,13.5,512.0,-37.80696302719972,144.99671101938742,0,3042.0,650000.0,3464.0,7,3,206,2,2
1.0,3.0,2.0,22,7,2016,13.5,512.0,-37.80696302719972,144.99671101938742,3,3042.0,552000.0,3464.0,7,3,206,2,1
1.0,2.0,0.0,27,3,2016,3.3,120.0,-37.8459,144.9555,1,3206.0,1275000.0,3280.0,6,2,334,4,0
1.0,2.0,0.0,27,3,2016,3.3,159.0,-37.845,144.9538,1,3206.0,1455000.0,3280.0,6,2,297,4,0
2.0,3.0,0.0,27,4,2017,3.3,211.0,-37.8481,144.9499,0,3206.0,2850000.0,3280.0,6,3,48,4,0
2.0,3.0,0.0,27,4,2017,3.3,128.0,-37.8452,144.9488,1,3206.0,1850000.0,3280.0,6,3,115,4,0
1.0,2.0,0.0,27,4,2017,3.3,130.0,-37.8431,144.9565,1,3206.0,1436000.0,3280.0,6,2,251,4,0
1.0,1.0,0.0,27,6,2016,3.3,147.0,-37.8444,144.9484,1,3206.0,1110000.0,3280.0,6,2,180,4,0
1.0,2.0,1.0,27,7,2016,3.3,167.0,-37.8405,144.9521,1,3206.0,1550000.0,3280.0,6,2,283,4,0
2.0,4.0,1.0,27,7,2016,3.3,153.0,-37.8447,144.9523,1,3206.0,2300000.0,3280.0,6,4,180,4,0
2.0,3.0,2.0,27,7,2016,3.3,718.0,-37.8443,144.9598,4,3206.0,1550000.0,3280.0,6,3,180,4,1
2.0,3.0,1.0,27,7,2016,3.3,132.0,-37.8415,144.952,4,3206.0,1800000.0,3280.0,6,3,115,4,0
1.0,3.0,2.0,27,8,2016,3.3,512.0,-37.80696302719972,144.99671101938742,1,3206.0,2485000.0,3280.0,6,3,60,4,0
1.0,2.0,1.0,27,10,2016,3.3,199.0,-37.8422,144.9554,1,3206.0,2120000.0,3280.0,6,2,115,4,0
1.0,3.0,1.0,27,10,2016,3.3,253.0,-37.8443,144.9579,4,3206.0,1800000.0,3280.0,6,3,60,4,0
2.0,3.0,1.0,27,10,2016,3.3,90.0,-37.8421,144.9571,1,3206.0,1800000.0,3280.0,6,3,180,4,0
1.0,2.0,0.0,27,10,2016,3.3,240.0,-37.8379,144.9539,0,3206.0,1810000.0,3280.0,6,2,115,4,0
2.0,3.0,1.0,27,10,2016,3.3,177.0,-37.8415,144.9585,1,3206.0,2615000.0,3280.0,6,3,60,4,0
2.0,5.0,1.0,27,10,2016,3.3,237.0,-37.8436,144.9557,1,3206.0,2100000.0,3280.0,6,5,115,4,0
1.0,3.0,0.0,27,10,2016,3.3,129.0,-37.8422,144.94899999999998,1,3206.0,1300000.0,3280.0,6,3,334,4,0
2.0,3.0,2.0,27,12,2016,3.3,0.0,-37.8451,144.9511,1,3206.0,1370000.0,3280.0,6,3,115,4,0
1.0,2.0,0.0,27,12,2016,3.3,288.0,-37.8407,144.9523,1,3206.0,1000000.0,3280.0,6,2,60,4,0
2.0,3.0,1.0,27,10,2016,3.3,228.0,-37.8445,144.9501,1,3206.0,2575000.0,3280.0,6,3,115,4,0
1.0,2.0,0.0,27,10,2016,3.3,149.0,-37.8443,144.9481,1,3206.0,1322500.0,3280.0,6,2,115,4,0
1.0,2.0,0.0,27,10,2016,3.3,141.0,-37.8424,144.9562,1,3206.0,1562500.0,3280.0,6,2,115,4,0
2.0,3.0,1.0,27,4,2016,3.3,211.0,-37.847,144.9575,4,3206.0,2000000.0,3280.0,6,3,251,4,0
1.0,3.0,0.0,27,3,2017,3.3,209.0,-37.8468,144.9546,1,3206.0,1900000.0,3280.0,6,3,115,4,0
2.0,3.0,0.0,27,3,2017,3.3,147.0,-37.8473,144.9551,1,3206.0,3010000.0,3280.0,6,3,115,4,0
3.0,4.0,1.0,27,6,2016,3.3,327.0,-37.8467,144.9475,4,3206.0,2800000.0,3280.0,6,4,60,4,0
1.0,2.0,1.0,27,5,2016,3.3,0.0,-37.846,144.9542,1,3206.0,647000.0,3280.0,6,2,115,4,2
1.0,2.0,1.0,27,4,2016,3.3,120.0,-37.8427,144.9546,3,3206.0,2100000.0,3280.0,6,3,180,4,0
1.0,3.0,1.0,27,9,2016,3.3,238.0,-37.8461,144.9528,0,3206.0,2000000.0,3280.0,6,3,180,4,0
1.0,1.0,0.0,27,2,2017,3.3,0.0,-37.8421,144.9517,1,3206.0,442500.0,3280.0,6,1,180,4,2
2.0,4.0,1.0,27,2,2017,3.3,330.0,-37.8477,144.9558,1,3206.0,4735000.0,3280.0,6,4,180,4,0
1.0,2.0,0.0,27,2,2017,3.3,136.0,-37.846,144.9517,1,3206.0,1340000.0,3280.0,6,2,115,4,0
1.0,3.0,1.0,27,2,2017,3.3,202.0,-37.8429,144.9493,1,3206.0,1801000.0,3280.0,6,3,334,4,0
3.0,3.0,1.0,27,7,2016,3.3,0.0,-37.8415,144.9585,1,3206.0,1532000.0,3280.0,6,3,66,4,0
2.0,3.0,2.0,27,7,2016,3.3,325.0,-37.8413,144.95,1,3206.0,3755000.0,3280.0,6,3,115,4,0
2.0,3.0,1.0,27,6,2016,3.3,183.0,-37.8434,144.9495,1,3206.0,2140000.0,3280.0,6,4,115,4,0
1.0,3.0,2.0,27,6,2016,3.3,512.0,-37.80696302719972,144.99671101938742,0,3206.0,1810000.0,3280.0,6,2,180,4,2
1.0,2.0,1.0,27,11,2016,3.3,162.0,-37.8416,144.9488,1,3206.0,1750000.0,3280.0,6,2,180,4,0
1.0,2.0,0.0,27,5,2016,3.3,79.0,-37.8387,144.9519,1,3206.0,980000.0,3280.0,6,2,115,4,0
2.0,3.0,0.0,27,8,2016,3.3,152.0,-37.8488,144.9551,1,3206.0,2030000.0,3280.0,6,3,334,4,0
2.0,3.0,2.0,27,8,2016,3.3,147.0,-37.8448,144.9453,0,3206.0,1740000.0,3280.0,6,3,180,4,0
3.0,3.0,1.0,27,7,2016,3.3,0.0,-37.8399,144.9577,4,3206.0,2800000.0,3280.0,6,3,48,4,0
1.0,1.0,0.0,27,7,2016,3.3,81.0,-37.8411,144.9497,1,3206.0,985000.0,3280.0,6,1,180,4,0
2.0,3.0,4.0,6,3,2016,6.4,853.0,-37.7707,145.0318,1,3078.0,2000000.0,2211.0,3,4,40,6,0
2.0,3.0,2.0,6,3,2016,6.4,208.0,-37.7854,145.0325,1,3078.0,1110000.0,2211.0,3,3,142,6,0
2.0,3.0,2.0,6,4,2017,6.4,411.0,-37.7713,145.0279,1,3078.0,1492000.0,2211.0,3,3,142,6,0
1.0,3.0,2.0,6,7,2016,6.4,512.0,-37.80696302719972,144.99671101938742,0,3078.0,480000.0,2211.0,3,2,196,6,2
1.0,3.0,2.0,6,8,2016,6.4,512.0,-37.80696302719972,144.99671101938742,3,3078.0,1304000.0,2211.0,3,3,127,6,1
2.0,4.0,1.0,6,8,2016,6.4,599.0,-37.7717,145.031,1,3078.0,1717500.0,2211.0,3,4,70,6,0
4.0,5.0,4.0,6,12,2016,6.4,809.0,-37.775,145.0268,1,3078.0,2840000.0,2211.0,3,5,206,6,0
1.0,2.0,1.0,6,12,2016,6.4,88.0,-37.7791,145.0306,1,3078.0,525500.0,2211.0,3,2,196,6,2
2.0,2.0,3.0,6,12,2016,6.4,155.0,-37.7804,145.0308,1,3078.0,805000.0,2211.0,3,2,196,6,1
1.0,2.0,1.0,6,12,2016,6.4,0.0,-37.7773,145.0314,1,3078.0,465000.0,2211.0,3,2,186,6,2
1.0,3.0,2.0,6,8,2016,6.4,512.0,-37.80696302719972,144.99671101938742,1,3078.0,1480000.0,2211.0,3,3,206,6,0
3.0,3.0,2.0,6,10,2016,6.4,686.0,-37.78,145.0341,0,3078.0,2000000.0,2211.0,3,3,334,6,0
1.0,3.0,2.0,6,4,2016,6.4,592.0,-37.7755,145.0288,1,3078.0,1540000.0,2211.0,3,3,206,6,0
1.0,3.0,2.0,6,9,2016,6.4,512.0,-37.80696302719972,144.99671101938742,0,3078.0,590000.0,2211.0,3,2,206,6,2
1.0,2.0,1.0,6,3,2017,6.4,183.0,-37.7747,145.0264,1,3078.0,820000.0,2211.0,3,2,206,6,2
2.0,4.0,2.0,6,11,2016,6.4,606.0,-37.7743,145.0316,1,3078.0,1830000.0,2211.0,3,4,206,6,0
2.0,4.0,2.0,6,11,2016,6.4,575.0,-37.7723,145.0319,1,3078.0,2100000.0,2211.0,3,4,206,6,0
1.0,3.0,1.0,6,5,2016,6.4,180.0,-37.7802,145.0243,3,3078.0,865000.0,2211.0,3,3,334,6,0
1.0,2.0,1.0,6,5,2016,6.4,0.0,-37.7773,145.0314,4,3078.0,390000.0,2211.0,3,2,206,6,2
1.0,0.0,0.0,6,9,2016,6.4,0.0,-37.7848,145.025,3,3078.0,650000.0,2211.0,3,2,40,6,1
1.0,2.0,1.0,6,2,2017,6.4,0.0,-37.7805,145.0262,1,3078.0,512000.0,2211.0,3,2,169,6,2
1.0,3.0,2.0,6,2,2017,6.4,512.0,-37.7796,145.0285,1,3078.0,1361000.0,2211.0,3,3,70,6,0
1.0,3.0,2.0,6,7,2016,6.4,512.0,-37.80696302719972,144.99671101938742,1,3078.0,1310000.0,2211.0,3,3,142,6,0
1.0,3.0,2.0,6,6,2016,6.4,512.0,-37.80696302719972,144.99671101938742,4,3078.0,570000.0,2211.0,3,3,296,6,0
1.0,3.0,2.0,6,6,2016,6.4,979.0,-37.7792,145.029,1,3078.0,1165000.0,2211.0,3,3,22,6,0
1.0,3.0,2.0,6,11,2016,6.4,512.0,-37.80696302719972,144.99671101938742,1,3078.0,530000.0,2211.0,3,2,142,6,2
2.0,4.0,2.0,6,11,2016,6.4,556.0,-37.7844,145.0225,3,3078.0,1900000.0,2211.0,3,4,186,6,0
0.0,3.0,0.0,6,8,2016,6.4,597.0,-37.7781,145.0284,3,3078.0,1485000.0,2211.0,3,3,186,6,0
2.0,4.0,3.0,6,7,2016,6.4,589.0,-37.7719,145.0309,1,3078.0,1950000.0,2211.0,3,4,142,6,0
2.0,3.0,1.0,10,3,2016,13.8,352.0,-37.87,144.825,4,3018.0,520000.0,5301.0,7,3,115,7,0
3.0,5.0,3.0,10,3,2016,13.8,729.0,-37.8721,144.8105,1,3018.0,1525000.0,5301.0,7,5,115,7,0
1.0,2.0,2.0,10,4,2016,13.8,292.0,-37.8687,144.8197,1,3018.0,720000.0,5301.0,7,2,334,7,1
1.0,3.0,2.0,10,4,2017,13.8,506.0,-37.8693,144.8375,1,3018.0,1120000.0,5301.0,7,3,21,7,0
1.0,4.0,4.0,10,4,2016,13.8,655.0,-37.868,144.8154,0,3018.0,780000.0,5301.0,7,4,290,7,0
3.0,4.0,6.0,10,4,2016,13.8,1057.0,-37.8681,144.819,3,3018.0,1780000.0,5301.0,7,4,115,7,0
1.0,2.0,2.0,10,6,2016,13.8,311.0,-37.8702,144.8143,1,3018.0,630000.0,5301.0,7,3,21,7,2
1.0,2.0,1.0,10,6,2016,13.8,65.0,-37.8693,144.8171,3,3018.0,406000.0,5301.0,7,2,334,7,2
1.0,3.0,1.0,10,7,2016,13.8,602.0,-37.8616,144.8116,4,3018.0,660000.0,5301.0,7,3,115,7,0
1.0,3.0,1.0,10,7,2016,13.8,530.0,-37.8594,144.817,1,3018.0,683500.0,5301.0,7,3,115,7,0
1.0,3.0,2.0,10,8,2016,13.8,512.0,-37.80696302719972,144.99671101938742,4,3018.0,540000.0,5301.0,7,2,334,7,2
1.0,2.0,1.0,10,8,2016,13.8,225.0,-37.8696,144.827,1,3018.0,580000.0,5301.0,7,2,21,7,2
1.0,3.0,4.0,10,8,2016,13.8,777.0,-37.8697,144.8249,1,3018.0,1335000.0,5301.0,7,3,334,7,0
2.0,3.0,2.0,10,8,2016,13.8,280.0,-37.8734,144.8143,3,3018.0,800000.0,5301.0,7,3,334,7,1
1.0,2.0,1.0,10,10,2016,13.8,127.0,-37.8686,144.8182,1,3018.0,510000.0,5301.0,7,2,312,7,2
2.0,4.0,2.0,10,10,2016,13.8,695.0,-37.8733,144.8147,1,3018.0,1070000.0,5301.0,7,4,21,7,0
1.0,2.0,2.0,10,10,2016,13.8,115.0,-37.871,144.8185,1,3018.0,425000.0,5301.0,7,2,334,7,2
