CouncilArea,Postcode,Regionname,Bedroom2,Bathroom,Car,Propertycount,Landsize,Distance,Lattitude,Longtitude
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Yarra City Council,3067.0,Northern Metropolitan,4.0,3.0,1.0,4019.0,0.0,2.5,-37.7994,144.9965
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.7972,144.9969
Yarra City Council,3067.0,Northern Metropolitan,3.0,2.0,2.0,4019.0,147.0,2.5,-37.805,144.9943
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,1.0,4019.0,168.0,2.5,-37.8007,144.9958
Yarra City Council,3067.0,Northern Metropolitan,1.0,1.0,1.0,4019.0,0.0,2.5,-37.8055,144.9961
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,0.0,4019.0,162.0,2.5,-37.8016,144.9956
Yarra City Council,3067.0,Northern Metropolitan,3.0,2.0,1.0,4019.0,120.0,2.5,-37.8022,144.9954
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,0.0,4019.0,182.0,2.5,-37.8021,144.9976
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,1.0,4019.0,172.0,2.5,-37.8086,144.9946
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,2.0,1.0,3464.0,303.0,13.5,-37.718,144.878
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,2.0,1.0,3464.0,0.0,13.5,-37.7203,144.8755
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,2.0,1.0,3464.0,0.0,13.5,-37.7203,144.8755
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,1.0,1.0,3464.0,272.0,13.5,-37.7294,144.888
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,2.0,2.0,3464.0,239.0,13.5,-37.7218,144.8837
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,1.0,1.0,3464.0,290.0,13.5,-37.7273,144.8744
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,1.0,1.0,3464.0,168.0,13.5,-37.7215,144.8864
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,1.0,1.0,3464.0,620.0,13.5,-37.7173,144.8872
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,597.0,13.5,-37.7259,144.8792
Moonee Valley City Council,3042.0,Western Metropolitan,6.0,3.0,2.0,3464.0,976.0,13.5,-37.7239,144.8735
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,1.0,1.0,3464.0,110.0,13.5,-37.7216,144.871
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,1.0,1.0,3464.0,141.0,13.5,-37.7298,144.8883
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,1.0,1.0,3464.0,120.0,13.5,-37.7234,144.8792
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,6.0,3464.0,1063.0,13.5,-37.7249,144.8728
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,1.0,3464.0,0.0,13.5,-37.7217,144.8783
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,1.0,3464.0,265.0,13.5,-37.7302,144.8855
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,1.0,1.0,3464.0,192.0,13.5,-37.7177,144.8787
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,2.0,2.0,3464.0,596.0,13.5,-37.7248,144.8699
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,2.0,2.0,3464.0,165.0,13.5,-37.727,144.887
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,971.0,13.5,-37.7186,144.876
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,1.0,1.0,3464.0,164.0,13.5,-37.7218,144.8863
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,2.0,2.0,3464.0,657.0,13.5,-37.7269,144.8742
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,1.0,1.0,3464.0,612.0,13.5,-37.7187,144.8765
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,2.0,5.0,3464.0,612.0,13.5,-37.7173,144.8796
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,1.0,3464.0,775.0,13.5,-37.7231,144.8835
Moonee Valley City Council,3042.0,Western Metropolitan,5.0,3.0,4.0,3464.0,531.0,13.5,-37.7263,144.8679
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,3.0,2.0,3464.0,555.0,13.5,-37.7285,144.8694
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,2.0,2.0,3464.0,422.0,13.5,-37.7164,144.8792
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,3.0,3464.0,614.0,13.5,-37.7194,144.8827
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,2.0,1.0,3464.0,161.0,13.5,-37.7231,144.8802
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,2.0,1.0,3464.0,293.0,13.5,-37.72,144.8776
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,1.0,3464.0,579.0,13.5,-37.7226,144.8733
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,1.0,3464.0,623.0,13.5,-37.7184,144.882
Moonee Valley City Council,3042.0,Western Metropolitan,2.0,1.0,1.0,3464.0,141.0,13.5,-37.7202,144.8797
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,2.0,1.0,3464.0,212.0,13.5,-37.7181,144.8824
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,612.0,13.5,-37.7169,144.8815
Moonee Valley City Council,3042.0,Western Metropolitan,4.0,3.0,2.0,3464.0,532.0,13.5,-37.7263,144.869
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,1.0,3464.0,585.0,13.5,-37.72,144.878
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,4.0,1.0,2.0,3464.0,509.0,13.5,-37.7261,144.8785
Moonee Valley City Council,3042.0,Western Metropolitan,4.0,2.0,3.0,3464.0,628.0,13.5,-37.7256,144.8739
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,3.0,1.0,2.0,3464.0,512.0,13.5,-37.80696302719972,144.99671101938742
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,0.0,3280.0,120.0,3.3,-37.8459,144.9555
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,0.0,3280.0,159.0,3.3,-37.845,144.9538
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,0.0,3280.0,211.0,3.3,-37.8481,144.9499
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,0.0,3280.0,128.0,3.3,-37.8452,144.9488
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,0.0,3280.0,130.0,3.3,-37.8431,144.9565
Port Phillip City Council,3206.0,Southern Metropolitan,1.0,1.0,0.0,3280.0,147.0,3.3,-37.8444,144.9484
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,1.0,3280.0,167.0,3.3,-37.8405,144.9521
Port Phillip City Council,3206.0,Southern Metropolitan,4.0,2.0,1.0,3280.0,153.0,3.3,-37.8447,144.9523
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,2.0,3280.0,718.0,3.3,-37.8443,144.9598
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,1.0,3280.0,132.0,3.3,-37.8415,144.952
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,1.0,2.0,3280.0,512.0,3.3,-37.80696302719972,144.99671101938742
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,1.0,3280.0,199.0,3.3,-37.8422,144.9554
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,1.0,1.0,3280.0,253.0,3.3,-37.8443,144.9579
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,1.0,3280.0,90.0,3.3,-37.8421,144.9571
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,0.0,3280.0,240.0,3.3,-37.8379,144.9539
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,1.0,3280.0,177.0,3.3,-37.8415,144.9585
Port Phillip City Council,3206.0,Southern Metropolitan,5.0,2.0,1.0,3280.0,237.0,3.3,-37.8436,144.9557
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,1.0,0.0,3280.0,129.0,3.3,-37.8422,144.94899999999998
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,2.0,3280.0,0.0,3.3,-37.8451,144.9511
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,0.0,3280.0,288.0,3.3,-37.8407,144.9523
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,1.0,3280.0,228.0,3.3,-37.8445,144.9501
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,0.0,3280.0,149.0,3.3,-37.8443,144.9481
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,0.0,3280.0,141.0,3.3,-37.8424,144.9562
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,1.0,3280.0,211.0,3.3,-37.847,144.9575
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,1.0,0.0,3280.0,209.0,3.3,-37.8468,144.9546
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,0.0,3280.0,147.0,3.3,-37.8473,144.9551
Port Phillip City Council,3206.0,Southern Metropolitan,4.0,3.0,1.0,3280.0,327.0,3.3,-37.8467,144.9475
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,1.0,3280.0,0.0,3.3,-37.846,144.9542
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,1.0,3280.0,120.0,3.3,-37.8427,144.9546
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,1.0,1.0,3280.0,238.0,3.3,-37.8461,144.9528
Port Phillip City Council,3206.0,Southern Metropolitan,1.0,1.0,0.0,3280.0,0.0,3.3,-37.8421,144.9517
Port Phillip City Council,3206.0,Southern Metropolitan,4.0,2.0,1.0,3280.0,330.0,3.3,-37.8477,144.9558
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,0.0,3280.0,136.0,3.3,-37.846,144.9517
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,1.0,1.0,3280.0,202.0,3.3,-37.8429,144.9493
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,3.0,1.0,3280.0,0.0,3.3,-37.8415,144.9585
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,2.0,3280.0,325.0,3.3,-37.8413,144.95
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,1.0,3280.0,183.0,3.3,-37.8434,144.9495
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,1.0,2.0,3280.0,512.0,3.3,-37.80696302719972,144.99671101938742
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,1.0,3280.0,162.0,3.3,-37.8416,144.9488
Port Phillip City Council,3206.0,Southern Metropolitan,2.0,1.0,0.0,3280.0,79.0,3.3,-37.8387,144.9519
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,0.0,3280.0,152.0,3.3,-37.8488,144.9551
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,2.0,2.0,3280.0,147.0,3.3,-37.8448,144.9453
Port Phillip City Council,3206.0,Southern Metropolitan,3.0,3.0,1.0,3280.0,0.0,3.3,-37.8399,144.9577
Port Phillip City Council,3206.0,Southern Metropolitan,1.0,1.0,0.0,3280.0,81.0,3.3,-37.8411,144.9497
Darebin City Council,3078.0,Northern Metropolitan,3.0,2.0,4.0,2211.0,853.0,6.4,-37.7707,145.0318
Darebin City Council,3078.0,Northern Metropolitan,3.0,2.0,2.0,2211.0,208.0,6.4,-37.7854,145.0325
Darebin City Council,3078.0,Northern Metropolitan,3.0,2.0,2.0,2211.0,411.0,6.4,-37.7713,145.0279
Darebin City Council,3078.0,Northern Metropolitan,3.0,1.0,2.0,2211.0,512.0,6.4,-37.80696302719972,144.99671101938742
Darebin City Council,3078.0,Northern Metropolitan,3.0,1.0,2.0,2211.0,512.0,6.4,-37.80696302719972,144.99671101938742
Darebin City Council,3078.0,Northern Metropolitan,4.0,2.0,1.0,2211.0,599.0,6.4,-37.7717,145.031
Darebin City Council,3078.0,Northern Metropolitan,5.0,4.0,4.0,2211.0,809.0,6.4,-37.775,145.0268
Darebin City Council,3078.0,Northern Metropolitan,2.0,1.0,1.0,2211.0,88.0,6.4,-37.7791,145.0306
Darebin City Council,3078.0,Northern Metropolitan,2.0,2.0,3.0,2211.0,155.0,6.4,-37.7804,145.0308
Darebin City Council,3078.0,Northern Metropolitan,2.0,1.0,1.0,2211.0,0.0,6.4,-37.7773,145.0314
Darebin City Council,3078.0,Northern Metropolitan,3.0,1.0,2.0,2211.0,512.0,6.4,-37.80696302719972,144.99671101938742
Darebin City Council,3078.0,Northern Metropolitan,3.0,3.0,2.0,2211.0,686.0,6.4,-37.78,145.0341
Darebin City Council,3078.0,Northern Metropolitan,3.0,1.0,2.0,2211.0,592.0,6.4,-37.7755,145.0288
Darebin City Council,3078.0,Northern Metropolitan,3.0,1.0,2.0,2211.0,512.0,6.4,-37.80696302719972,144.99671101938742
Darebin City Council,3078.0,Northern Metropolitan,2.0,1.0,1.0,2211.0,183.0,6.4,-37.7747,145.0264
Darebin City Council,3078.0,Northern Metropolitan,4.0,2.0,2.0,2211.0,606.0,6.4,-37.7743,145.0316
Darebin City Council,3078.0,Northern Metropolitan,4.0,2.0,2.0,2211.0,575.0,6.4,-37.7723,145.0319
Darebin City Council,3078.0,Northern Metropolitan,3.0,1.0,1.0,2211.0,180.0,6.4,-37.7802,145.0243
Darebin City Council,3078.0,Northern Metropolitan,2.0,1.0,1.0,2211.0,0.0,6.4,-37.7773,145.0314
Darebin City Council,3078.0,Northern Metropolitan,0.0,1.0,0.0,2211.0,0.0,6.4,-37.7848,145.025
Darebin City Council,3078.0,Northern Metropolitan,2.0,1.0,1.0,2211.0,0.0,6.4,-37.7805,145.0262
Darebin City Council,3078.0,Northern Metropolitan,3.0,1.0,2.0,2211.0,512.0,6.4,-37.7796,145.0285
Darebin City Council,3078.0,Northern Metropolitan,3.0,1.0,2.0,2211.0,512.0,6.4,-37.80696302719972,144.99671101938742
Darebin City Council,3078.0,Northern Metropolitan,3.0,1.0,2.0,2211.0,512.0,6.4,-37.80696302719972,144.99671101938742
Darebin City Council,3078.0,Northern Metropolitan,3.0,1.0,2.0,2211.0,979.0,6.4,-37.7792,145.029
Darebin City Council,3078.0,Northern Metropolitan,3.0,1.0,2.0,2211.0,512.0,6.4,-37.80696302719972,144.99671101938742
Darebin City Council,3078.0,Northern Metropolitan,4.0,2.0,2.0,2211.0,556.0,6.4,-37.7844,145.0225
Darebin City Council,3078.0,Northern Metropolitan,3.0,0.0,0.0,2211.0,597.0,6.4,-37.7781,145.0284
Darebin City Council,3078.0,Northern Metropolitan,4.0,2.0,3.0,2211.0,589.0,6.4,-37.7719,145.0309
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,2.0,1.0,5301.0,352.0,13.8,-37.87,144.825
Hobsons Bay City Council,3018.0,Western Metropolitan,5.0,3.0,3.0,5301.0,729.0,13.8,-37.8721,144.8105
Hobsons Bay City Council,3018.0,Western Metropolitan,2.0,1.0,2.0,5301.0,292.0,13.8,-37.8687,144.8197
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,1.0,2.0,5301.0,506.0,13.8,-37.8693,144.8375
Hobsons Bay City Council,3018.0,Western Metropolitan,4.0,1.0,4.0,5301.0,655.0,13.8,-37.868,144.8154
Hobsons Bay City Council,3018.0,Western Metropolitan,4.0,3.0,6.0,5301.0,1057.0,13.8,-37.8681,144.819
Hobsons Bay City Council,3018.0,Western Metropolitan,2.0,1.0,2.0,5301.0,311.0,13.8,-37.8702,144.8143
Hobsons Bay City Council,3018.0,Western Metropolitan,2.0,1.0,1.0,5301.0,65.0,13.8,-37.8693,144.8171
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,1.0,1.0,5301.0,602.0,13.8,-37.8616,144.8116
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,1.0,1.0,5301.0,530.0,13.8,-37.8594,144.817
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,1.0,2.0,5301.0,512.0,13.8,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3018.0,Western Metropolitan,2.0,1.0,1.0,5301.0,225.0,13.8,-37.8696,144.827
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,1.0,4.0,5301.0,777.0,13.8,-37.8697,144.8249
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,2.0,2.0,5301.0,280.0,13.8,-37.8734,144.8143
Hobsons Bay City Council,3018.0,Western Metropolitan,2.0,1.0,1.0,5301.0,127.0,13.8,-37.8686,144.8182
Hobsons Bay City Council,3018.0,Western Metropolitan,4.0,2.0,2.0,5301.0,695.0,13.8,-37.8733,144.8147
Hobsons Bay City Council,3018.0,Western Metropolitan,2.0,1.0,2.0,5301.0,115.0,13.8,-37.871,144.8185
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,2.0,2.0,5301.0,230.0,13.8,-37.8646,144.827
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,2.0,2.0,5301.0,197.0,13.8,-37.8579,144.8181
Hobsons Bay City Council,3018.0,Western Metropolitan,2.0,1.0,1.0,5301.0,0.0,13.8,-37.8678,144.8384
Hobsons Bay City Council,3018.0,Western Metropolitan,2.0,1.0,1.0,5301.0,0.0,13.8,-37.8659,144.83100000000002
Hobsons Bay City Council,3018.0,Western Metropolitan,4.0,1.0,2.0,5301.0,745.0,13.8,-37.8658,144.8155
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,1.0,2.0,5301.0,512.0,13.8,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,2.0,2.0,5301.0,211.0,13.8,-37.8698,144.816
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,1.0,2.0,5301.0,512.0,13.8,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,2.0,1.0,5301.0,69.0,13.8,-37.868,144.8286
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,1.0,2.0,5301.0,512.0,13.8,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,1.0,4.0,5301.0,625.0,13.8,-37.8611,144.8114
Hobsons Bay City Council,3018.0,Western Metropolitan,2.0,1.0,1.0,5301.0,168.0,13.8,-37.8676,144.8202
Hobsons Bay City Council,3018.0,Western Metropolitan,2.0,1.0,1.0,5301.0,137.0,13.8,-37.8655,144.8299
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,2.0,1.0,5301.0,70.0,13.8,-37.868,144.8287
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,1.0,2.0,5301.0,606.0,13.8,-37.8608,144.8124
Hobsons Bay City Council,3018.0,Western Metropolitan,2.0,2.0,1.0,5301.0,175.0,13.8,-37.8687,144.8268
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,1.0,2.0,5301.0,363.0,13.8,-37.8674,144.8375
Hobsons Bay City Council,3018.0,Western Metropolitan,3.0,2.0,2.0,5301.0,534.0,13.8,-37.86,144.8245
